Tarih,TP_LKF_KSV02
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,13499448.24
2006-01-01,13108165.05
2006-02-01,11369387.9
2006-03-01,12939667.9
2006-04-01,11655960.37
2006-05-01,12117999.77
2006-06-01,11290990.77
2006-07-01,9484575.81
2006-08-01,8998675.77
2006-09-01,6266975.09
2006-10-01,5811947.08
2006-11-01,5504128.73
2006-12-01,6429461.65
2007-01-01,5208454.3
2007-02-01,4653295.98
2007-03-01,4744546.12
2007-04-01,4985306.59
2007-05-01,4991486.16
2007-06-01,4453262.43
2007-07-01,4685047.2
2007-08-01,4958097.7
2007-09-01,5175804.75
2007-10-01,5680431.0
2007-11-01,5774975.0
2007-12-01,6627908.0
2008-01-01,4841836.0
2008-02-01,5506349.0
2008-03-01,4588225.0
2008-04-01,5098599.0
2008-05-01,6124969.0
2008-06-01,5688095.0
2008-07-01,4402891.0
2008-08-01,4432112.0
2008-09-01,5346377.0
2008-10-01,5086480.0
2008-11-01,4852551.0
2008-12-01,7683335.0
2009-01-01,8117674.0
2009-02-01,5475879.0
2009-03-01,7021235.0
2009-04-01,8387326.0
2009-05-01,8347750.0
2009-06-01,7816184.0
2009-07-01,7978723.0
2009-08-01,5753800.0
2009-09-01,6714864.0
2009-10-01,5417784.0
2009-11-01,4914795.0
2009-12-01,4514375.0
2010-01-01,5155303.0
2010-02-01,4595570.0
2010-03-01,3554690.0
2010-04-01,2777736.0
2010-05-01,3349200.0
2010-06-01,3716882.0
2010-07-01,4429083.0
2010-08-01,4724993.0
2010-09-01,5154076.0
2010-10-01,5478548.0
2010-11-01,3456471.0
2010-12-01,3657220.0
2011-01-01,3305411.0
2011-02-01,3105296.0
2011-03-01,4573081.0
2011-04-01,4951663.0
2011-05-01,4824323.0
2011-06-01,5150756.0
2011-07-01,5382318.0
2011-08-01,4840350.0
2011-09-01,5663618.0
2011-10-01,5927503.0
2011-11-01,4609192.0
2011-12-01,4499571.0
2012-01-01,4266463.0
2012-02-01,4991891.0
2012-03-01,4729544.0
2012-04-01,4334359.0
2012-05-01,5119435.0
2012-06-01,5910929.0
2012-07-01,5689218.0
2012-08-01,5298684.0
2012-09-01,5402626.0
2012-10-01,5531771.0
2012-11-01,5023342.0
2012-12-01,5247477.0
2013-01-01,4966825.0
2013-02-01,5294345.0
2013-03-01,4291858.0
2013-04-01,4340748.0
2013-05-01,4668014.0
2013-06-01,4132438.0
2013-07-01,3320712.0
2013-08-01,2665428.0
2013-09-01,3713598.0
