Tarih,TP_REZVARPD_K5
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,1313.0
2000-09-01,1202.0
2000-10-01,1111.0
2000-11-01,1055.0
2000-12-01,4316.0
2001-01-01,580.0
2001-02-01,3434.0
2001-03-01,2080.0
2001-04-01,1749.0
2001-05-01,1964.0
2001-06-01,859.0
2001-07-01,1615.0
2001-08-01,1055.0
2001-09-01,2639.0
2001-10-01,1449.0
2001-11-01,1224.0
2001-12-01,3458.0
2002-01-01,2262.0
2002-02-01,1794.0
2002-03-01,1698.0
2002-04-01,2002.0
2002-05-01,1181.0
2002-06-01,1253.0
2002-07-01,1837.0
2002-08-01,2023.0
2002-09-01,2021.0
2002-10-01,1756.0
2002-11-01,1267.0
2002-12-01,1889.0
2003-01-01,2276.0
2003-02-01,1737.0
2003-03-01,1649.0
2003-04-01,1396.0
2003-05-01,1671.0
2003-06-01,1370.0
2003-07-01,1055.0
2003-08-01,801.0
2003-09-01,1140.0
2003-10-01,948.0
2003-11-01,1124.0
2003-12-01,1552.0
2004-01-01,929.0
2004-02-01,786.0
2004-03-01,717.0
2004-04-01,709.0
2004-05-01,660.0
2004-06-01,715.0
2004-07-01,657.0
2004-08-01,652.0
2004-09-01,597.0
2004-10-01,657.0
2004-11-01,724.0
2004-12-01,1118.0
2005-01-01,694.0
2005-02-01,1821.0
2005-03-01,1872.0
2005-04-01,2610.0
2005-05-01,1838.0
2005-06-01,1787.0
2005-07-01,1731.0
2005-08-01,1730.0
2005-09-01,1857.0
2005-10-01,1470.0
2005-11-01,1675.0
2005-12-01,1790.0
2006-01-01,1330.0
2006-02-01,1543.0
2006-03-01,1135.0
2006-04-01,1138.0
2006-05-01,1194.0
2006-06-01,1124.0
2006-07-01,1059.0
2006-08-01,918.0
2006-09-01,1319.0
2006-10-01,1332.0
2006-11-01,1402.0
2006-12-01,1519.0
2007-01-01,1462.0
2007-02-01,1209.0
2007-03-01,1935.0
2007-04-01,1090.0
2007-05-01,1199.0
2007-06-01,984.0
2007-07-01,1223.0
2007-08-01,3792.0
2007-09-01,2897.0
2007-10-01,2153.0
2007-11-01,3194.0
2007-12-01,3815.0
2008-01-01,3843.0
2008-02-01,4119.0
2008-03-01,4034.0
2008-04-01,2161.0
2008-05-01,3076.0
2008-06-01,4252.0
2008-07-01,2448.0
2008-08-01,2287.0
2008-09-01,3826.0
2008-10-01,3324.0
2008-11-01,2672.0
2008-12-01,3286.0
2009-01-01,2871.0
2009-02-01,2559.0
2009-03-01,3331.0
2009-04-01,3756.0
2009-05-01,3060.0
2009-06-01,2462.0
2009-07-01,3111.0
2009-08-01,2517.0
2009-09-01,3200.0
2009-10-01,2425.0
2009-11-01,4276.0
2009-12-01,4517.0
2010-01-01,4273.0
2010-02-01,4609.0
2010-03-01,3495.0
2010-04-01,4462.0
2010-05-01,4126.0
2010-06-01,4469.0
2010-07-01,5409.0
2010-08-01,4479.0
2010-09-01,5271.0
2010-10-01,6149.0
2010-11-01,5446.0
2010-12-01,6846.0
2011-01-01,5663.0
2011-02-01,5868.0
2011-03-01,8000.0
2011-04-01,6262.0
2011-05-01,7989.0
2011-06-01,6646.0
2011-07-01,5290.0
2011-08-01,6209.0
2011-09-01,6623.0
2011-10-01,8489.0
2011-11-01,7742.0
2011-12-01,10491.0
2012-01-01,9873.0
2012-02-01,5044.0
2012-03-01,5456.0
2012-04-01,6230.0
2012-05-01,6564.0
2012-06-01,6814.0
2012-07-01,4812.0
2012-08-01,9799.0
2012-09-01,5060.0
