Tarih,TP_DOVVARNC_K8
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,-545.0
2000-09-01,-702.0
2000-10-01,-675.0
2000-11-01,-767.0
2000-12-01,-1299.0
2001-01-01,-1763.0
2001-02-01,-1280.0
2001-03-01,-2692.0
2001-04-01,-2629.0
2001-05-01,-496.0
2001-06-01,-1897.0
2001-07-01,-1899.0
2001-08-01,-2012.0
2001-09-01,-2602.0
2001-10-01,-1033.0
2001-11-01,-777.0
2001-12-01,-1580.0
2002-01-01,-624.0
2002-02-01,-1793.0
2002-03-01,-3797.0
2002-04-01,-3778.0
2002-05-01,-2773.0
2002-06-01,-4172.0
2002-07-01,-3672.0
2002-08-01,-1693.0
2002-09-01,-2000.0
2002-10-01,-2228.0
2002-11-01,-2403.0
2002-12-01,-2851.0
2003-01-01,-1912.0
2003-02-01,-1747.0
2003-03-01,-4714.0
2003-04-01,-6434.0
2003-05-01,-5316.0
2003-06-01,-6652.0
2003-07-01,-7502.0
2003-08-01,-5210.0
2003-09-01,-4131.0
2003-10-01,-3708.0
2003-11-01,-5653.0
2003-12-01,-6039.0
2004-01-01,-3411.0
2004-02-01,-2059.0
2004-03-01,-2656.0
2004-04-01,-3335.0
2004-05-01,-3915.0
2004-06-01,-5163.0
2004-07-01,-4736.0
2004-08-01,-3758.0
2004-09-01,-5808.0
2004-10-01,-4778.0
2004-11-01,-5343.0
2004-12-01,-5581.0
2005-01-01,-3144.0
2005-02-01,-4778.0
2005-03-01,-7545.0
2005-04-01,-7263.0
2005-05-01,-6081.0
2005-06-01,-9278.0
2005-07-01,-8560.0
2005-08-01,-4913.0
2005-09-01,-4111.0
2005-10-01,-3676.0
2005-11-01,-3875.0
2005-12-01,-2848.0
2006-01-01,-3646.0
2006-02-01,-4769.0
2006-03-01,-2940.0
2006-04-01,-2707.0
2006-05-01,-5620.0
2006-06-01,-4988.0
2006-07-01,-3172.0
2006-08-01,-6030.0
2006-09-01,-4814.0
2006-10-01,-2313.0
2006-11-01,-3600.0
2006-12-01,-5492.0
2007-01-01,-7264.0
2007-02-01,-6215.0
2007-03-01,-3073.0
2007-04-01,-2551.0
2007-05-01,-3635.0
2007-06-01,-3835.0
2007-07-01,-6012.0
2007-08-01,-7509.0
2007-09-01,-4366.0
2007-10-01,-3570.0
2007-11-01,-4628.0
2007-12-01,-4327.0
2008-01-01,-3093.0
2008-02-01,-6262.0
2008-03-01,-6688.0
2008-04-01,-3765.0
2008-05-01,-4611.0
2008-06-01,-3547.0
2008-07-01,-2991.0
2008-08-01,-2276.0
2008-09-01,-2841.0
2008-10-01,-2794.0
2008-11-01,-1471.0
2008-12-01,-1722.0
2009-01-01,-3934.0
2009-02-01,-3827.0
2009-03-01,-2218.0
2009-04-01,-2596.0
2009-05-01,-2583.0
2009-06-01,-3502.0
2009-07-01,-2720.0
2009-08-01,-2582.0
2009-09-01,-2394.0
2009-10-01,-4619.0
2009-11-01,-6445.0
2009-12-01,-3004.0
2010-01-01,-1187.0
2010-02-01,-1431.0
2010-03-01,-2929.0
2010-04-01,-3344.0
2010-05-01,-2177.0
2010-06-01,-5094.0
2010-07-01,-7265.0
2010-08-01,-4182.0
2010-09-01,-2002.0
2010-10-01,-2601.0
2010-11-01,-2212.0
2010-12-01,-1371.0
2011-01-01,-1554.0
2011-02-01,-2160.0
2011-03-01,-2793.0
2011-04-01,-2992.0
2011-05-01,-3461.0
2011-06-01,-3009.0
2011-07-01,-1717.0
2011-08-01,-2400.0
2011-09-01,-2349.0
