Tarih,TP_DOVVARNC_K2
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,-8541.0
2000-09-01,-8322.0
2000-10-01,-8148.0
2000-11-01,-10333.0
2000-12-01,-11435.0
2001-01-01,-11334.0
2001-02-01,-11988.0
2001-03-01,-12869.0
2001-04-01,-12189.0
2001-05-01,-12798.0
2001-06-01,-11827.0
2001-07-01,-12674.0
2001-08-01,-13380.0
2001-09-01,-14036.0
2001-10-01,-14569.0
2001-11-01,-13147.0
2001-12-01,-19909.0
2002-01-01,-20554.0
2002-02-01,-20311.0
2002-03-01,-20667.0
2002-04-01,-21587.0
2002-05-01,-21564.0
2002-06-01,-23549.0
2002-07-01,-24432.0
2002-08-01,-25514.0
2002-09-01,-26955.0
2002-10-01,-28850.0
2002-11-01,-30259.0
2002-12-01,-30646.0
2003-01-01,-33677.0
2003-02-01,-35102.0
2003-03-01,-35924.0
2003-04-01,-36471.0
2003-05-01,-40254.0
2003-06-01,-37259.0
2003-07-01,-34853.0
2003-08-01,-32013.0
2003-09-01,-32008.0
2003-10-01,-29676.0
2003-11-01,-30027.0
2003-12-01,-32998.0
2004-01-01,-31705.0
2004-02-01,-32178.0
2004-03-01,-30589.0
2004-04-01,-31077.0
2004-05-01,-33048.0
2004-06-01,-36385.0
2004-07-01,-36951.0
2004-08-01,-38581.0
2004-09-01,-42036.0
2004-10-01,-43727.0
2004-11-01,-44713.0
2004-12-01,-43475.0
2005-01-01,-43927.0
2005-02-01,-45607.0
2005-03-01,-44624.0
2005-04-01,-44252.0
2005-05-01,-40212.0
2005-06-01,-36028.0
2005-07-01,-35106.0
2005-08-01,-35397.0
2005-09-01,-30275.0
2005-10-01,-29556.0
2005-11-01,-30839.0
2005-12-01,-29771.0
2006-01-01,-30176.0
2006-02-01,-29797.0
2006-03-01,-32543.0
2006-04-01,-34598.0
2006-05-01,-35013.0
2006-06-01,-34469.0
2006-07-01,-34341.0
2006-08-01,-32653.0
2006-09-01,-32535.0
2006-10-01,-34818.0
2006-11-01,-34419.0
2006-12-01,-34457.0
2007-01-01,-35430.0
2007-02-01,-35324.0
2007-03-01,-34426.0
2007-04-01,-31347.0
2007-05-01,-34166.0
2007-06-01,-34407.0
2007-07-01,-35420.0
2007-08-01,-35102.0
2007-09-01,-35022.0
2007-10-01,-32326.0
2007-11-01,-29716.0
2007-12-01,-30625.0
2008-01-01,-28910.0
2008-02-01,-27666.0
2008-03-01,-26962.0
2008-04-01,-28972.0
2008-05-01,-24429.0
2008-06-01,-25520.0
2008-07-01,-24134.0
2008-08-01,-23221.0
2008-09-01,-24211.0
2008-10-01,-22451.0
2008-11-01,-23264.0
2008-12-01,-23184.0
2009-01-01,-25521.0
2009-02-01,-26835.0
2009-03-01,-24572.0
2009-04-01,-21693.0
2009-05-01,-22722.0
2009-06-01,-23344.0
2009-07-01,-23214.0
2009-08-01,-23444.0
2009-09-01,-25829.0
2009-10-01,-27434.0
2009-11-01,-27883.0
2009-12-01,-27502.0
2010-01-01,-24931.0
2010-02-01,-23077.0
2010-03-01,-22798.0
2010-04-01,-22624.0
2010-05-01,-22691.0
2010-06-01,-21703.0
2010-07-01,-22201.0
2010-08-01,-22592.0
2010-09-01,-20755.0
2010-10-01,-18222.0
2010-11-01,-18271.0
2010-12-01,-18221.0
2011-01-01,-20308.0
2011-02-01,-20623.0
2011-03-01,-20658.0
2011-04-01,-20768.0
2011-05-01,-20262.0
2011-06-01,-19309.0
2011-07-01,-20081.0
2011-08-01,-19806.0
