Tarih,TP_REZVARPD_K2
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,24308.0
2000-09-01,24011.0
2000-10-01,23427.0
2000-11-01,18784.0
2000-12-01,22169.0
2001-01-01,24949.0
2001-02-01,21411.0
2001-03-01,18490.0
2001-04-01,18236.0
2001-05-01,19891.0
2001-06-01,16484.0
2001-07-01,16966.0
2001-08-01,18636.0
2001-09-01,19079.0
2001-10-01,18649.0
2001-11-01,17343.0
2001-12-01,18780.0
2002-01-01,18926.0
2002-02-01,20358.0
2002-03-01,20311.0
2002-04-01,22316.0
2002-05-01,21815.0
2002-06-01,22068.0
2002-07-01,22826.0
2002-08-01,24901.0
2002-09-01,24886.0
2002-10-01,25208.0
2002-11-01,25834.0
2002-12-01,26611.0
2003-01-01,28760.0
2003-02-01,27439.0
2003-03-01,26372.0
2003-04-01,26538.0
2003-05-01,28383.0
2003-06-01,28450.0
2003-07-01,28697.0
2003-08-01,29555.0
2003-09-01,33718.0
2003-10-01,32515.0
2003-11-01,31125.0
2003-12-01,33419.0
2004-01-01,33283.0
2004-02-01,33142.0
2004-03-01,32690.0
2004-04-01,33355.0
2004-05-01,33041.0
2004-06-01,33754.0
2004-07-01,31933.0
2004-08-01,33490.0
2004-09-01,34511.0
2004-10-01,35494.0
2004-11-01,35064.0
2004-12-01,35798.0
2005-01-01,36651.0
2005-02-01,36461.0
2005-03-01,37860.0
2005-04-01,36910.0
2005-05-01,35636.0
2005-06-01,39795.0
2005-07-01,42482.0
2005-08-01,40995.0
2005-09-01,41580.0
2005-10-01,44408.0
2005-11-01,47688.0
2005-12-01,50279.0
2006-01-01,52538.0
2006-02-01,56351.0
2006-03-01,58094.0
2006-04-01,59368.0
2006-05-01,59420.0
2006-06-01,56648.0
2006-07-01,56657.0
2006-08-01,57774.0
2006-09-01,58356.0
2006-10-01,57106.0
2006-11-01,58064.0
2006-12-01,60650.0
2007-01-01,62688.0
2007-02-01,64477.0
2007-03-01,67268.0
2007-04-01,66979.0
2007-05-01,66093.0
2007-06-01,68033.0
2007-07-01,68892.0
2007-08-01,71678.0
2007-09-01,71481.0
2007-10-01,71937.0
2007-11-01,72186.0
2007-12-01,73070.0
2008-01-01,74050.0
2008-02-01,74717.0
2008-03-01,76278.0
2008-04-01,74335.0
2008-05-01,73839.0
2008-06-01,75695.0
2008-07-01,75518.0
2008-08-01,75673.0
2008-09-01,77280.0
2008-10-01,71709.0
2008-11-01,71005.0
2008-12-01,70818.0
2009-01-01,67726.0
2009-02-01,67367.0
2009-03-01,66983.0
2009-04-01,64096.0
2009-05-01,67216.0
2009-06-01,65687.0
2009-07-01,66784.0
2009-08-01,68801.0
2009-09-01,69212.0
2009-10-01,69838.0
2009-11-01,69750.0
2009-12-01,69017.0
2010-01-01,69126.0
2010-02-01,66059.0
2010-03-01,67811.0
2010-04-01,71392.0
2010-05-01,70709.0
2010-06-01,69427.0
2010-07-01,72583.0
2010-08-01,74954.0
2010-09-01,75957.0
2010-10-01,77336.0
2010-11-01,77461.0
2010-12-01,79042.0
2011-01-01,81190.0
2011-02-01,81373.0
2011-03-01,85079.0
2011-04-01,88473.0
2011-05-01,90135.0
2011-06-01,92023.0
2011-07-01,91298.0
2011-08-01,87295.0
2011-09-01,85844.0
2011-10-01,83061.0
2011-11-01,83430.0
2011-12-01,76784.0
2012-01-01,74743.0
2012-02-01,76668.0
2012-03-01,78469.0
2012-04-01,78604.0
2012-05-01,77124.0
2012-06-01,81424.0
2012-07-01,83404.0
