Tarih,TP_REZVARPD_K9
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,2.0
2000-09-01,2.0
2000-10-01,21.0
2000-11-01,2.0
2000-12-01,29.0
2001-01-01,48.0
2001-02-01,2.0
2001-03-01,2.0
2001-04-01,96.0
2001-05-01,6.0
2001-06-01,8.0
2001-07-01,136.0
2001-08-01,3.0
2001-09-01,3.0
2001-10-01,195.0
2001-11-01,23.0
2001-12-01,5.0
2002-01-01,54.0
2002-02-01,28.0
2002-03-01,28.0
2002-04-01,24.0
2002-05-01,32.0
2002-06-01,38.0
2002-07-01,265.0
2002-08-01,35.0
2002-09-01,34.0
2002-10-01,272.0
2002-11-01,30.0
2002-12-01,31.0
2003-01-01,272.0
2003-02-01,33.0
2003-03-01,32.0
2003-04-01,255.0
2003-05-01,42.0
2003-06-01,62.0
2003-07-01,272.0
2003-08-01,49.0
2003-09-01,51.0
2003-10-01,253.0
2003-11-01,31.0
2003-12-01,30.0
2004-01-01,239.0
2004-02-01,6.0
2004-03-01,6.0
2004-04-01,214.0
2004-05-01,1.0
2004-06-01,2.0
2004-07-01,250.0
2004-08-01,2.0
2004-09-01,2.0
2004-10-01,280.0
2004-11-01,14.0
2004-12-01,14.0
2005-01-01,272.0
2005-02-01,19.0
2005-03-01,19.0
2005-04-01,253.0
2005-05-01,1.0
2005-06-01,21.0
2005-07-01,260.0
2005-08-01,22.0
2005-09-01,21.0
2005-10-01,239.0
2005-11-01,21.0
2005-12-01,16.0
2006-01-01,232.0
2006-02-01,23.0
2006-03-01,22.0
2006-04-01,227.0
2006-05-01,18.0
2006-06-01,18.0
2006-07-01,210.0
2006-08-01,18.0
2006-09-01,18.0
2006-10-01,210.0
2006-11-01,16.0
2006-12-01,12.0
2007-01-01,188.0
2007-02-01,21.0
2007-03-01,22.0
2007-04-01,174.0
2007-05-01,28.0
2007-06-01,28.0
2007-07-01,181.0
2007-08-01,44.0
2007-09-01,45.0
2007-10-01,171.0
2007-11-01,50.0
2007-12-01,50.0
2008-01-01,122.0
2008-02-01,21.0
2008-03-01,77.0
2008-04-01,157.0
2008-05-01,67.0
2008-06-01,67.0
2008-07-01,204.0
2008-08-01,80.0
2008-09-01,80.0
2008-10-01,129.0
2008-11-01,22.0
2008-12-01,23.0
2009-01-01,75.0
2009-02-01,12.0
2009-03-01,12.0
2009-04-01,65.0
2009-05-01,20.0
2009-06-01,20.0
2009-07-01,20.0
2009-08-01,1397.0
2009-09-01,1529.0
2009-10-01,1541.0
2009-11-01,1559.0
2009-12-01,1515.0
2010-01-01,1509.0
2010-02-01,1483.0
2010-03-01,1474.0
2010-04-01,1462.0
2010-05-01,1428.0
2010-06-01,1431.0
2010-07-01,1474.0
2010-08-01,1465.0
2010-09-01,1506.0
2010-10-01,1547.0
2010-11-01,1487.0
2010-12-01,1494.0
2011-01-01,1514.0
2011-02-01,1521.0
2011-03-01,1529.0
2011-04-01,1568.0
2011-05-01,1547.0
2011-06-01,1552.0
2011-07-01,1575.0
2011-08-01,1562.0
2011-09-01,1527.0
2011-10-01,1561.0
2011-11-01,1511.0
2011-12-01,1494.0
2012-01-01,1511.0
2012-02-01,1509.0
2012-03-01,1501.0
2012-04-01,1511.0
2012-05-01,1469.0
2012-06-01,1468.0
2012-07-01,1470.0
2012-08-01,1477.0
2012-09-01,1495.0
2012-10-01,1500.0
2012-11-01,1486.0
2012-12-01,1489.0
2013-01-01,1492.0
2013-02-01,1464.0
2013-03-01,1449.0
2013-04-01,1460.0
