Tarih,TP_EKKALEM_K14
2023-05-01,18764.0
2023-06-01,18789.0
2023-07-01,16088.0
2023-08-01,18770.0
2023-09-01,18739.0
2023-10-01,18693.0
2023-11-01,18786.0
2023-12-01,18795.0
2024-01-01,19008.0
2024-02-01,19006.0
2024-03-01,19022.0
2024-04-01,18775.0
2024-05-01,18761.0
2024-06-01,18742.0
2024-07-01,18578.0
2024-08-01,17735.0
2024-09-01,17726.0
2024-10-01,17726.0
2024-11-01,17725.0
2024-12-01,17725.0
2025-01-01,15029.0
2025-02-01,15036.0
2025-03-01,15031.0
2025-04-01,15039.0
2025-05-01,15042.0
2025-06-01,15005.0
2025-07-01,15058.0
2025-08-01,15049.0
2025-09-01,15043.0
