Tarih,TP_DOVVARNC_K4
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,-1088.0
2000-09-01,-1409.0
2000-10-01,-1170.0
2000-11-01,-1197.0
2000-12-01,-1902.0
2001-01-01,-2279.0
2001-02-01,-1758.0
2001-03-01,-3378.0
2001-04-01,-3226.0
2001-05-01,-797.0
2001-06-01,-2245.0
2001-07-01,-2381.0
2001-08-01,-2627.0
2001-09-01,-3682.0
2001-10-01,-1959.0
2001-11-01,-1352.0
2001-12-01,-2464.0
2002-01-01,-1172.0
2002-02-01,-2623.0
2002-03-01,-4918.0
2002-04-01,-4689.0
2002-05-01,-3638.0
2002-06-01,-5071.0
2002-07-01,-4450.0
2002-08-01,-2727.0
2002-09-01,-3156.0
2002-10-01,-3082.0
2002-11-01,-3441.0
2002-12-01,-4022.0
2003-01-01,-2678.0
2003-02-01,-2709.0
2003-03-01,-5732.0
2003-04-01,-7630.0
2003-05-01,-6694.0
2003-06-01,-7909.0
2003-07-01,-8665.0
2003-08-01,-6339.0
2003-09-01,-5208.0
2003-10-01,-4924.0
2003-11-01,-7137.0
2003-12-01,-7305.0
2004-01-01,-4208.0
2004-02-01,-2940.0
2004-03-01,-3634.0
2004-04-01,-4304.0
2004-05-01,-5094.0
2004-06-01,-6324.0
2004-07-01,-5655.0
2004-08-01,-4735.0
2004-09-01,-6926.0
2004-10-01,-5988.0
2004-11-01,-6977.0
2004-12-01,-6970.0
2005-01-01,-3963.0
2005-02-01,-5730.0
2005-03-01,-8734.0
2005-04-01,-8503.0
2005-05-01,-7410.0
2005-06-01,-10594.0
2005-07-01,-9586.0
2005-08-01,-6037.0
2005-09-01,-5282.0
2005-10-01,-4815.0
2005-11-01,-5253.0
2005-12-01,-4064.0
2006-01-01,-4517.0
2006-02-01,-5850.0
2006-03-01,-4063.0
2006-04-01,-3741.0
2006-05-01,-6844.0
2006-06-01,-6254.0
2006-07-01,-4307.0
2006-08-01,-7254.0
2006-09-01,-5951.0
2006-10-01,-3371.0
2006-11-01,-5016.0
2006-12-01,-6981.0
2007-01-01,-8433.0
2007-02-01,-7323.0
2007-03-01,-4134.0
2007-04-01,-3630.0
2007-05-01,-4842.0
2007-06-01,-5013.0
2007-07-01,-7097.0
2007-08-01,-8501.0
2007-09-01,-5337.0
2007-10-01,-4740.0
2007-11-01,-6178.0
2007-12-01,-5749.0
2008-01-01,-4196.0
2008-02-01,-7154.0
2008-03-01,-7524.0
2008-04-01,-4799.0
2008-05-01,-5694.0
2008-06-01,-4629.0
2008-07-01,-3922.0
2008-08-01,-2863.0
2008-09-01,-3541.0
2008-10-01,-3777.0
2008-11-01,-2665.0
2008-12-01,-3028.0
2009-01-01,-5117.0
2009-02-01,-4592.0
2009-03-01,-2759.0
2009-04-01,-3538.0
2009-05-01,-3553.0
2009-06-01,-4468.0
2009-07-01,-3563.0
2009-08-01,-3052.0
2009-09-01,-2948.0
2009-10-01,-5601.0
2009-11-01,-7761.0
2009-12-01,-4198.0
2010-01-01,-2035.0
2010-02-01,-1896.0
2010-03-01,-3370.0
2010-04-01,-4168.0
2010-05-01,-3034.0
2010-06-01,-5931.0
2010-07-01,-7990.0
2010-08-01,-4651.0
2010-09-01,-2510.0
2010-10-01,-3394.0
2010-11-01,-3235.0
2010-12-01,-2401.0
2011-01-01,-2382.0
2011-02-01,-2798.0
2011-03-01,-3370.0
2011-04-01,-3783.0
2011-05-01,-4370.0
2011-06-01,-3885.0
2011-07-01,-2419.0
2011-08-01,-2770.0
