Tarih,TP_REZVARPD_K3
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,21855.0
2000-09-01,21473.0
2000-10-01,21184.0
2000-11-01,15164.0
2000-12-01,17239.0
2001-01-01,23467.0
2001-02-01,14560.0
2001-03-01,14770.0
2001-04-01,13910.0
2001-05-01,16497.0
2001-06-01,14300.0
2001-07-01,13993.0
2001-08-01,15941.0
2001-09-01,15116.0
2001-10-01,15997.0
2001-11-01,15379.0
2001-12-01,14764.0
2002-01-01,16047.0
2002-02-01,17699.0
2002-03-01,18066.0
2002-04-01,19266.0
2002-05-01,20035.0
2002-06-01,19398.0
2002-07-01,20620.0
2002-08-01,22799.0
2002-09-01,22749.0
2002-10-01,23404.0
2002-11-01,24517.0
2002-12-01,24649.0
2003-01-01,26429.0
2003-02-01,25658.0
2003-03-01,24688.0
2003-04-01,25096.0
2003-05-01,26446.0
2003-06-01,26791.0
2003-07-01,27526.0
2003-08-01,28508.0
2003-09-01,32409.0
2003-10-01,30805.0
2003-11-01,29845.0
2003-12-01,31558.0
2004-01-01,31545.0
2004-02-01,31221.0
2004-03-01,30743.0
2004-04-01,31618.0
2004-05-01,31460.0
2004-06-01,30886.0
2004-07-01,30099.0
2004-08-01,31822.0
2004-09-01,32547.0
2004-10-01,33469.0
2004-11-01,33246.0
2004-12-01,33049.0
2005-01-01,34926.0
2005-02-01,33896.0
2005-03-01,35184.0
2005-04-01,33218.0
2005-05-01,32945.0
2005-06-01,36725.0
2005-07-01,39810.0
2005-08-01,38494.0
2005-09-01,37939.0
2005-10-01,41556.0
2005-11-01,44709.0
2005-12-01,46166.0
2006-01-01,49569.0
2006-02-01,51599.0
2006-03-01,56046.0
2006-04-01,56446.0
2006-05-01,56648.0
2006-06-01,53268.0
2006-07-01,53137.0
2006-08-01,54092.0
2006-09-01,54089.0
2006-10-01,52434.0
2006-11-01,54745.0
2006-12-01,56783.0
2007-01-01,58304.0
2007-02-01,60447.0
2007-03-01,61901.0
2007-04-01,62844.0
2007-05-01,63220.0
2007-06-01,64347.0
2007-07-01,65227.0
2007-08-01,67306.0
2007-09-01,67809.0
2007-10-01,67169.0
2007-11-01,68065.0
2007-12-01,67690.0
2008-01-01,69024.0
2008-02-01,69803.0
2008-03-01,70600.0
2008-04-01,71045.0
2008-05-01,70028.0
2008-06-01,70371.0
2008-07-01,71788.0
2008-08-01,72379.0
2008-09-01,73419.0
2008-10-01,68360.0
2008-11-01,67208.0
2008-12-01,66763.0
2009-01-01,64199.0
2009-02-01,64070.0
2009-03-01,63145.0
2009-04-01,59989.0
2009-05-01,63635.0
2009-06-01,62342.0
2009-07-01,62888.0
2009-08-01,65842.0
2009-09-01,64755.0
2009-10-01,66705.0
2009-11-01,65331.0
2009-12-01,63896.0
2010-01-01,64275.0
2010-02-01,60564.0
2010-03-01,63310.0
2010-04-01,66169.0
2010-05-01,66171.0
2010-06-01,64277.0
2010-07-01,66717.0
2010-08-01,69940.0
2010-09-01,69587.0
2010-10-01,71015.0
2010-11-01,71677.0
2010-12-01,71276.0
2011-01-01,74737.0
2011-02-01,74862.0
2011-03-01,75373.0
2011-04-01,80530.0
2011-05-01,81292.0
2011-06-01,84054.0
2011-07-01,84735.0
2011-08-01,81038.0
2011-09-01,78504.0
2011-10-01,73417.0
2011-11-01,75152.0
2011-12-01,65968.0
2012-01-01,63637.0
2012-02-01,70965.0
2012-03-01,72528.0
2012-04-01,71570.0
2012-05-01,70063.0
2012-06-01,74147.0
2012-07-01,78430.0
