Tarih,TP_DOVVARSB_K5
2021-06-01,-1628.0
2021-07-01,-1564.0
2021-08-01,-1545.0
2021-09-01,-1400.0
2021-10-01,-1462.0
2021-11-01,-1439.0
2021-12-01,-1603.0
2022-01-01,-1444.0
2022-02-01,-1436.0
2022-03-01,-2709.0
2022-04-01,-2731.0
2022-05-01,-2770.0
2022-06-01,-2988.0
2022-07-01,-2829.0
2022-08-01,-2787.0
2022-09-01,-3052.0
2022-10-01,-2777.0
2022-11-01,-2850.0
2022-12-01,-1652.0
2023-01-01,-1563.0
2023-02-01,-1693.0
2023-03-01,-1747.0
2023-04-01,-2068.0
2023-05-01,-2146.0
2023-06-01,-2177.0
2023-07-01,-2416.0
2023-08-01,-1944.0
2023-09-01,-1934.0
2023-10-01,-2130.0
2023-11-01,-2176.0
2023-12-01,-2123.0
2024-01-01,-1687.0
2024-02-01,-1862.0
2024-03-01,-2748.0
2024-04-01,-2945.0
2024-05-01,-2841.0
2024-06-01,-3718.0
2024-07-01,-3355.0
2024-08-01,-3466.0
2024-09-01,-3438.0
2024-10-01,-3574.0
2024-11-01,-3656.0
2024-12-01,-2701.0
2025-01-01,-2638.0
2025-02-01,-2732.0
2025-03-01,-1783.0
2025-04-01,-2001.0
2025-05-01,-1910.0
2025-06-01,-1878.0
2025-07-01,-1804.0
2025-08-01,-1541.0
2025-09-01,-1535.0
