Tarih,TP_DOVVARSB_K4
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,-248.0
2000-09-01,-349.0
2000-10-01,-356.0
2000-11-01,-233.0
2000-12-01,-285.0
2001-01-01,-398.0
2001-02-01,-394.0
2001-03-01,-436.0
2001-04-01,-376.0
2001-05-01,-228.0
2001-06-01,-327.0
2001-07-01,-370.0
2001-08-01,-304.0
2001-09-01,-432.0
2001-10-01,-366.0
2001-11-01,-233.0
2001-12-01,-250.0
2002-01-01,-262.0
2002-02-01,-284.0
2002-03-01,-437.0
2002-04-01,-377.0
2002-05-01,-210.0
2002-06-01,-350.0
2002-07-01,-383.0
2002-08-01,-285.0
2002-09-01,-377.0
2002-10-01,-350.0
2002-11-01,-238.0
2002-12-01,-236.0
2003-01-01,-207.0
2003-02-01,-253.0
2003-03-01,-410.0
2003-04-01,-410.0
2003-05-01,-279.0
2003-06-01,-233.0
2003-07-01,-220.0
2003-08-01,-255.0
2003-09-01,-434.0
2003-10-01,-366.0
2003-11-01,-222.0
2003-12-01,-226.0
2004-01-01,-276.0
2004-02-01,-338.0
2004-03-01,-420.0
2004-04-01,-328.0
2004-05-01,-212.0
2004-06-01,-206.0
2004-07-01,-217.0
2004-08-01,-276.0
2004-09-01,-337.0
2004-10-01,-290.0
2004-11-01,-179.0
2004-12-01,-196.0
2005-01-01,-184.0
2005-02-01,-187.0
2005-03-01,-422.0
2005-04-01,-342.0
2005-05-01,-174.0
2005-06-01,-214.0
2005-07-01,-313.0
2005-08-01,-381.0
2005-09-01,-501.0
2005-10-01,-378.0
2005-11-01,-154.0
2005-12-01,-200.0
2006-01-01,-249.0
2006-02-01,-341.0
2006-03-01,-454.0
2006-04-01,-288.0
2006-05-01,-145.0
2006-06-01,-196.0
2006-07-01,-277.0
2006-08-01,-369.0
2006-09-01,-333.0
2006-10-01,-189.0
2006-11-01,-108.0
2006-12-01,-163.0
2007-01-01,-256.0
2007-02-01,-342.0
2007-03-01,-363.0
2007-04-01,-209.0
2007-05-01,-98.0
2007-06-01,-173.0
2007-07-01,-255.0
2007-08-01,-322.0
2007-09-01,-304.0
2007-10-01,-160.0
2007-11-01,-91.0
2007-12-01,-188.0
2008-01-01,-498.0
2008-02-01,-546.0
2008-03-01,-305.0
2008-04-01,-165.0
2008-05-01,-93.0
2008-06-01,-210.0
2008-07-01,-314.0
2008-08-01,-306.0
2008-09-01,-274.0
2008-10-01,-139.0
2008-11-01,-80.0
2008-12-01,-199.0
2009-01-01,-276.0
2009-02-01,-288.0
2009-03-01,-232.0
2009-04-01,-104.0
2009-05-01,-76.0
2009-06-01,-174.0
2009-07-01,-260.0
2009-08-01,-258.0
2009-09-01,-201.0
2009-10-01,-102.0
2009-11-01,-74.0
2009-12-01,-186.0
2010-01-01,-271.0
2010-02-01,-252.0
2010-03-01,-203.0
2010-04-01,-137.0
2010-05-01,-87.0
2010-06-01,-156.0
2010-07-01,-259.0
2010-08-01,-237.0
2010-09-01,-201.0
2010-10-01,-123.0
2010-11-01,-64.0
2010-12-01,-152.0
2011-01-01,-253.0
2011-02-01,-229.0
2011-03-01,-181.0
2011-04-01,-131.0
2011-05-01,-78.0
2011-06-01,-173.0
2011-07-01,-262.0
2011-08-01,-217.0
2011-09-01,-177.0
2011-10-01,-131.0
2011-11-01,-76.0
2011-12-01,-179.0
2012-01-01,-232.0
2012-02-01,-164.0
2012-03-01,-164.0
2012-04-01,-124.0
2012-05-01,-73.0
2012-06-01,-172.0
2012-07-01,-224.0
