Tarih,TP_DOVVARSB_K6
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,-356.0
2000-09-01,-362.0
2000-10-01,-357.0
2000-11-01,-394.0
2000-12-01,-442.0
2001-01-01,-420.0
2001-02-01,-388.0
2001-03-01,-359.0
2001-04-01,-346.0
2001-05-01,-339.0
2001-06-01,-412.0
2001-07-01,-323.0
2001-08-01,-327.0
2001-09-01,-302.0
2001-10-01,-287.0
2001-11-01,-312.0
2001-12-01,-321.0
2002-01-01,-307.0
2002-02-01,-10921.0
2002-03-01,-11008.0
2002-04-01,-11417.0
2002-05-01,-11346.0
2002-06-01,-11544.0
2002-07-01,-11652.0
2002-08-01,-11719.0
2002-09-01,-11659.0
2002-10-01,-11623.0
2002-11-01,-11695.0
2002-12-01,-12177.0
2003-01-01,-12505.0
2003-02-01,-12638.0
2003-03-01,-12244.0
2003-04-01,-12505.0
2003-05-01,-13272.0
2003-06-01,-13100.0
2003-07-01,-13231.0
2003-08-01,-12794.0
2003-09-01,-13309.0
2003-10-01,-13759.0
2003-11-01,-13938.0
2003-12-01,-14582.0
2004-01-01,-14693.0
2004-02-01,-14609.0
2004-03-01,-14298.0
2004-04-01,-13810.0
2004-05-01,-14134.0
2004-06-01,-14118.0
2004-07-01,-14203.0
2004-08-01,-14380.0
2004-09-01,-14636.0
2004-10-01,-15019.0
2004-11-01,-15608.0
2004-12-01,-16041.0
2005-01-01,-16022.0
2005-02-01,-16155.0
2005-03-01,-15809.0
2005-04-01,-15906.0
2005-05-01,-15661.0
2005-06-01,-15311.0
2005-07-01,-15829.0
2005-08-01,-15905.0
2005-09-01,-15630.0
2005-10-01,-15837.0
2005-11-01,-15329.0
2005-12-01,-15597.0
2006-01-01,-16076.0
2006-02-01,-15983.0
2006-03-01,-16307.0
2006-04-01,-16440.0
2006-05-01,-16682.0
2006-06-01,-16218.0
2006-07-01,-16538.0
2006-08-01,-16862.0
2006-09-01,-17336.0
2006-10-01,-17632.0
2006-11-01,-18233.0
2006-12-01,-18315.0
2007-01-01,-18150.0
2007-02-01,-18690.0
2007-03-01,-18587.0
2007-04-01,-18965.0
2007-05-01,-18694.0
2007-06-01,-19005.0
2007-07-01,-19279.0
2007-08-01,-18951.0
2007-09-01,-19386.0
2007-10-01,-19684.0
2007-11-01,-19977.0
2007-12-01,-20060.0
2008-01-01,-20260.0
2008-02-01,-20390.0
2008-03-01,-20809.0
2008-04-01,-20578.0
2008-05-01,-21124.0
2008-06-01,-21254.0
2008-07-01,-21294.0
2008-08-01,-21066.0
2008-09-01,-20387.0
2008-10-01,-18400.0
2008-11-01,-18110.0
2008-12-01,-16323.0
2009-01-01,-15037.0
2009-02-01,-14696.0
2009-03-01,-14692.0
2009-04-01,-14878.0
2009-05-01,-15416.0
2009-06-01,-15521.0
2009-07-01,-15610.0
2009-08-01,-16156.0
2009-09-01,-16349.0
2009-10-01,-16709.0
2009-11-01,-16809.0
2009-12-01,-15986.0
2010-01-01,-16140.0
2010-02-01,-15679.0
2010-03-01,-15526.0
2010-04-01,-15923.0
2010-05-01,-15972.0
2010-06-01,-15594.0
2010-07-01,-16673.0
2010-08-01,-17132.0
2010-09-01,-18418.0
2010-10-01,-20448.0
2010-11-01,-20536.0
2010-12-01,-20420.0
2011-01-01,-20766.0
2011-02-01,-20458.0
2011-03-01,-20830.0
2011-04-01,-22336.0
2011-05-01,-23235.0
2011-06-01,-23207.0
2011-07-01,-23147.0
2011-08-01,-21472.0
2011-09-01,-23478.0
