Tarih,TP_DOVVARNC_K7
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,-1408.0
2000-09-01,-319.0
2000-10-01,-247.0
2000-11-01,-442.0
2000-12-01,-277.0
2001-01-01,-496.0
2001-02-01,-802.0
2001-03-01,-940.0
2001-04-01,-303.0
2001-05-01,-2330.0
2001-06-01,-212.0
2001-07-01,-286.0
2001-08-01,-1648.0
2001-09-01,-278.0
2001-10-01,-1583.0
2001-11-01,-839.0
2001-12-01,-172.0
2002-01-01,-1108.0
2002-02-01,-771.0
2002-03-01,-447.0
2002-04-01,-1304.0
2002-05-01,-2532.0
2002-06-01,-1332.0
2002-07-01,-1429.0
2002-08-01,-2548.0
2002-09-01,-1097.0
2002-10-01,-584.0
2002-11-01,-1416.0
2002-12-01,-843.0
2003-01-01,-1683.0
2003-02-01,-1154.0
2003-03-01,-721.0
2003-04-01,-1032.0
2003-05-01,-3804.0
2003-06-01,-2756.0
2003-07-01,-2443.0
2003-08-01,-4101.0
2003-09-01,-3333.0
2003-10-01,-2021.0
2003-11-01,-1517.0
2003-12-01,-2277.0
2004-01-01,-3506.0
2004-02-01,-2501.0
2004-03-01,-892.0
2004-04-01,-1104.0
2004-05-01,-1526.0
2004-06-01,-1876.0
2004-07-01,-1956.0
2004-08-01,-3126.0
2004-09-01,-1627.0
2004-10-01,-2187.0
2004-11-01,-3728.0
2004-12-01,-1148.0
2005-01-01,-4171.0
2005-02-01,-1261.0
2005-03-01,-1914.0
2005-04-01,-2797.0
2005-05-01,-4709.0
2005-06-01,-2415.0
2005-07-01,-3521.0
2005-08-01,-5945.0
2005-09-01,-2674.0
2005-10-01,-2195.0
2005-11-01,-1897.0
2005-12-01,-1448.0
2006-01-01,-2193.0
2006-02-01,-864.0
2006-03-01,-2779.0
2006-04-01,-2096.0
2006-05-01,-1118.0
2006-06-01,-1776.0
2006-07-01,-3761.0
2006-08-01,-1243.0
2006-09-01,-1904.0
2006-10-01,-3905.0
2006-11-01,-1109.0
2006-12-01,-1269.0
2007-01-01,-2308.0
2007-02-01,-3153.0
2007-03-01,-4127.0
2007-04-01,-2133.0
2007-05-01,-940.0
2007-06-01,-1562.0
2007-07-01,-2100.0
2007-08-01,-1765.0
2007-09-01,-4335.0
2007-10-01,-3309.0
2007-11-01,-1095.0
2007-12-01,-2512.0
2008-01-01,-2100.0
2008-02-01,-2235.0
2008-03-01,-901.0
2008-04-01,-5394.0
2008-05-01,-1269.0
2008-06-01,-2510.0
2008-07-01,-2117.0
2008-08-01,-1320.0
2008-09-01,-1530.0
2008-10-01,-679.0
2008-11-01,-2023.0
2008-12-01,-823.0
2009-01-01,-702.0
2009-02-01,-919.0
2009-03-01,-3006.0
2009-04-01,-504.0
2009-05-01,-1724.0
2009-06-01,-942.0
2009-07-01,-1640.0
2009-08-01,-1879.0
2009-09-01,-943.0
2009-10-01,-1707.0
2009-11-01,-729.0
2009-12-01,-3883.0
2010-01-01,-2364.0
2010-02-01,-559.0
2010-03-01,-844.0
2010-04-01,-574.0
2010-05-01,-2287.0
2010-06-01,-946.0
2010-07-01,-1284.0
2010-08-01,-3932.0
2010-09-01,-3347.0
2010-10-01,-994.0
2010-11-01,-990.0
2010-12-01,-1529.0
2011-01-01,-725.0
2011-02-01,-672.0
2011-03-01,-902.0
2011-04-01,-1297.0
2011-05-01,-1525.0
2011-06-01,-1425.0
2011-07-01,-2020.0
2011-08-01,-967.0
2011-09-01,-725.0
2011-10-01,-1622.0
2011-11-01,-734.0
