Tarih,TP_DOVVARSB_K2
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,-1999.0
2000-09-01,-2013.0
2000-10-01,-2055.0
2000-11-01,-1997.0
2000-12-01,-2077.0
2001-01-01,-2040.0
2001-02-01,-2034.0
2001-03-01,-2041.0
2001-04-01,-2012.0
2001-05-01,-2035.0
2001-06-01,-2042.0
2001-07-01,-2037.0
2001-08-01,-2030.0
2001-09-01,-2003.0
2001-10-01,-1993.0
2001-11-01,-1870.0
2001-12-01,-1861.0
2002-01-01,-1877.0
2002-02-01,-1909.0
2002-03-01,-1878.0
2002-04-01,-1852.0
2002-05-01,-1820.0
2002-06-01,-1842.0
2002-07-01,-1872.0
2002-08-01,-1903.0
2002-09-01,-1729.0
2002-10-01,-1698.0
2002-11-01,-1697.0
2002-12-01,-1745.0
2003-01-01,-1728.0
2003-02-01,-1714.0
2003-03-01,-1722.0
2003-04-01,-1764.0
2003-05-01,-1803.0
2003-06-01,-1771.0
2003-07-01,-1716.0
2003-08-01,-1698.0
2003-09-01,-1763.0
2003-10-01,-1790.0
2003-11-01,-1758.0
2003-12-01,-1790.0
2004-01-01,-1780.0
2004-02-01,-1755.0
2004-03-01,-1716.0
2004-04-01,-1599.0
2004-05-01,-1550.0
2004-06-01,-1450.0
2004-07-01,-1422.0
2004-08-01,-1408.0
2004-09-01,-1305.0
2004-10-01,-1317.0
2004-11-01,-1262.0
2004-12-01,-1163.0
2005-01-01,-1050.0
2005-02-01,-1034.0
2005-03-01,-2121.0
2005-04-01,-1890.0
2005-05-01,-1853.0
2005-06-01,-1808.0
2005-07-01,-1818.0
2005-08-01,-1727.0
2005-09-01,-1799.0
2005-10-01,-1672.0
2005-11-01,-1720.0
2005-12-01,-1509.0
2006-01-01,-1415.0
2006-02-01,-1408.0
2006-03-01,-1503.0
2006-04-01,-1519.0
2006-05-01,-1541.0
2006-06-01,-1419.0
2006-07-01,-1400.0
2006-08-01,-1375.0
2006-09-01,-1373.0
2006-10-01,-1340.0
2006-11-01,-1340.0
2006-12-01,-1328.0
2007-01-01,-1302.0
2007-02-01,-1355.0
2007-03-01,-1378.0
2007-04-01,-1381.0
2007-05-01,-1356.0
2007-06-01,-1292.0
2007-07-01,-1291.0
2007-08-01,-1296.0
2007-09-01,-1328.0
2007-10-01,-1341.0
2007-11-01,-1462.0
2007-12-01,-1460.0
2008-01-01,-1621.0
2008-02-01,-1621.0
2008-03-01,-1651.0
2008-04-01,-1438.0
2008-05-01,-1333.0
2008-06-01,-1339.0
2008-07-01,-1272.0
2008-08-01,-1246.0
2008-09-01,-1252.0
2008-10-01,-1194.0
2008-11-01,-1107.0
2008-12-01,-1170.0
2009-01-01,-1127.0
2009-02-01,-1121.0
2009-03-01,-1127.0
2009-04-01,-1097.0
2009-05-01,-1095.0
2009-06-01,-1068.0
2009-07-01,-1103.0
2009-08-01,-1094.0
2009-09-01,-1101.0
2009-10-01,-1106.0
2009-11-01,-1104.0
2009-12-01,-1084.0
2010-01-01,-1102.0
2010-02-01,-1077.0
2010-03-01,-1056.0
2010-04-01,-1048.0
2010-05-01,-1006.0
2010-06-01,-993.0
2010-07-01,-1014.0
2010-08-01,-1002.0
2010-09-01,-1029.0
2010-10-01,-1027.0
2010-11-01,-990.0
2010-12-01,-982.0
2011-01-01,-1016.0
2011-02-01,-1018.0
2011-03-01,-1050.0
2011-04-01,-1031.0
2011-05-01,-1001.0
2011-06-01,-1004.0
2011-07-01,-999.0
2011-08-01,-1002.0
