Tarih,TP_DOVVARSB_K1
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,-2355.0
2000-09-01,-2375.0
2000-10-01,-2412.0
2000-11-01,-2391.0
2000-12-01,-2519.0
2001-01-01,-2460.0
2001-02-01,-2422.0
2001-03-01,-2400.0
2001-04-01,-2358.0
2001-05-01,-2374.0
2001-06-01,-2454.0
2001-07-01,-2360.0
2001-08-01,-2357.0
2001-09-01,-2305.0
2001-10-01,-2280.0
2001-11-01,-2182.0
2001-12-01,-2182.0
2002-01-01,-2184.0
2002-02-01,-12830.0
2002-03-01,-12886.0
2002-04-01,-13269.0
2002-05-01,-13166.0
2002-06-01,-13386.0
2002-07-01,-13524.0
2002-08-01,-13622.0
2002-09-01,-13388.0
2002-10-01,-13321.0
2002-11-01,-13392.0
2002-12-01,-13922.0
2003-01-01,-14233.0
2003-02-01,-14352.0
2003-03-01,-13966.0
2003-04-01,-14269.0
2003-05-01,-15075.0
2003-06-01,-14871.0
2003-07-01,-14947.0
2003-08-01,-14492.0
2003-09-01,-15072.0
2003-10-01,-15549.0
2003-11-01,-15696.0
2003-12-01,-16372.0
2004-01-01,-16473.0
2004-02-01,-16364.0
2004-03-01,-16014.0
2004-04-01,-15409.0
2004-05-01,-15684.0
2004-06-01,-15568.0
2004-07-01,-15625.0
2004-08-01,-15788.0
2004-09-01,-15941.0
2004-10-01,-16336.0
2004-11-01,-16870.0
2004-12-01,-17204.0
2005-01-01,-17072.0
2005-02-01,-17189.0
2005-03-01,-17930.0
2005-04-01,-17796.0
2005-05-01,-17514.0
2005-06-01,-17119.0
2005-07-01,-17647.0
2005-08-01,-17632.0
2005-09-01,-17429.0
2005-10-01,-17509.0
2005-11-01,-17049.0
2005-12-01,-17106.0
2006-01-01,-17491.0
2006-02-01,-17391.0
2006-03-01,-17810.0
2006-04-01,-17959.0
2006-05-01,-18223.0
2006-06-01,-17637.0
2006-07-01,-17938.0
2006-08-01,-18237.0
2006-09-01,-18709.0
2006-10-01,-18972.0
2006-11-01,-19573.0
2006-12-01,-19643.0
2007-01-01,-19452.0
2007-02-01,-20045.0
2007-03-01,-19965.0
2007-04-01,-20346.0
2007-05-01,-20050.0
2007-06-01,-20297.0
2007-07-01,-20570.0
2007-08-01,-20247.0
2007-09-01,-20714.0
2007-10-01,-21025.0
2007-11-01,-21439.0
2007-12-01,-21520.0
2008-01-01,-21881.0
2008-02-01,-22011.0
2008-03-01,-22460.0
2008-04-01,-22016.0
2008-05-01,-22457.0
2008-06-01,-22593.0
2008-07-01,-22566.0
2008-08-01,-22312.0
2008-09-01,-21639.0
2008-10-01,-19594.0
2008-11-01,-19217.0
2008-12-01,-17493.0
2009-01-01,-16164.0
2009-02-01,-15817.0
2009-03-01,-15819.0
2009-04-01,-15975.0
2009-05-01,-16511.0
2009-06-01,-16589.0
2009-07-01,-16713.0
2009-08-01,-17250.0
2009-09-01,-17450.0
2009-10-01,-17815.0
2009-11-01,-17913.0
2009-12-01,-17070.0
2010-01-01,-17242.0
2010-02-01,-16756.0
2010-03-01,-16582.0
2010-04-01,-16971.0
2010-05-01,-16978.0
2010-06-01,-16587.0
2010-07-01,-17687.0
2010-08-01,-18134.0
2010-09-01,-19447.0
2010-10-01,-21475.0
2010-11-01,-21526.0
2010-12-01,-21402.0
2011-01-01,-21782.0
2011-02-01,-21476.0
2011-03-01,-21880.0
2011-04-01,-23367.0
2011-05-01,-24236.0
2011-06-01,-24211.0
2011-07-01,-24146.0
2011-08-01,-22474.0
