Tarih,TP_REZVARPD_K7
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,1137.0
2000-09-01,1331.0
2000-10-01,1128.0
2000-11-01,2562.0
2000-12-01,610.0
2001-01-01,899.0
2001-02-01,3412.0
2001-03-01,1636.0
2001-04-01,2572.0
2001-05-01,1425.0
2001-06-01,1319.0
2001-07-01,1354.0
2001-08-01,1634.0
2001-09-01,1320.0
2001-10-01,1193.0
2001-11-01,736.0
2001-12-01,548.0
2002-01-01,615.0
2002-02-01,861.0
2002-03-01,544.0
2002-04-01,1041.0
2002-05-01,594.0
2002-06-01,1411.0
2002-07-01,365.0
2002-08-01,60.0
2002-09-01,111.0
2002-10-01,42.0
2002-11-01,41.0
2002-12-01,68.0
2003-01-01,50.0
2003-02-01,41.0
2003-03-01,32.0
2003-04-01,41.0
2003-05-01,263.0
2003-06-01,282.0
2003-07-01,112.0
2003-08-01,242.0
2003-09-01,165.0
2003-10-01,759.0
2003-11-01,147.0
2003-12-01,303.0
2004-01-01,804.0
2004-02-01,1131.0
2004-03-01,1227.0
2004-04-01,1023.0
2004-05-01,916.0
2004-06-01,2149.0
2004-07-01,1173.0
2004-08-01,1011.0
2004-09-01,1364.0
2004-10-01,1362.0
2004-11-01,1092.0
2004-12-01,1626.0
2005-01-01,1028.0
2005-02-01,741.0
2005-03-01,799.0
2005-04-01,1077.0
2005-05-01,847.0
2005-06-01,1279.0
2005-07-01,937.0
2005-08-01,764.0
2005-09-01,1776.0
2005-10-01,1377.0
2005-11-01,1295.0
2005-12-01,2317.0
2006-01-01,1635.0
2006-02-01,3203.0
2006-03-01,908.0
2006-04-01,1774.0
2006-05-01,1571.0
2006-06-01,2251.0
2006-07-01,2456.0
2006-08-01,2757.0
2006-09-01,2943.0
2006-10-01,3333.0
2006-11-01,1912.0
2006-12-01,2338.0
2007-01-01,2919.0
2007-02-01,2815.0
2007-03-01,3426.0
2007-04-01,3040.0
2007-05-01,1667.0
2007-06-01,2697.0
2007-07-01,2430.0
2007-08-01,570.0
2007-09-01,770.0
2007-10-01,2611.0
2007-11-01,922.0
2007-12-01,1560.0
2008-01-01,1177.0
2008-02-01,792.0
2008-03-01,1640.0
2008-04-01,1125.0
2008-05-01,730.0
2008-06-01,1065.0
2008-07-01,1275.0
2008-08-01,997.0
2008-09-01,31.0
2008-10-01,22.0
2008-11-01,1122.0
2008-12-01,759.0
2009-01-01,653.0
2009-02-01,736.0
2009-03-01,505.0
2009-04-01,347.0
2009-05-01,517.0
2009-06-01,880.0
2009-07-01,781.0
2009-08-01,437.0
2009-09-01,1253.0
2009-10-01,705.0
2009-11-01,140.0
2009-12-01,596.0
2010-01-01,574.0
2010-02-01,883.0
2010-03-01,1003.0
2010-04-01,757.0
2010-05-01,408.0
2010-06-01,677.0
2010-07-01,451.0
2010-08-01,529.0
2010-09-01,1095.0
2010-10-01,168.0
2010-11-01,334.0
2010-12-01,913.0
2011-01-01,785.0
2011-02-01,639.0
2011-03-01,1702.0
2011-04-01,1676.0
2011-05-01,849.0
2011-06-01,1316.0
2011-07-01,1266.0
2011-08-01,45.0
2011-09-01,712.0
2011-10-01,1152.0
2011-11-01,528.0
2011-12-01,318.0
2012-01-01,1231.0
2012-02-01,656.0
2012-03-01,482.0
2012-04-01,800.0
2012-05-01,492.0
2012-06-01,459.0
2012-07-01,159.0
2012-08-01,226.0
2012-09-01,356.0
2012-10-01,412.0
2012-11-01,562.0
2012-12-01,323.0
2013-01-01,507.0
2013-02-01,794.0
