Tarih,TP_REZVARPD_K10
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,1033.0
2000-09-01,1025.0
2000-10-01,988.0
2000-11-01,1006.0
2000-12-01,1026.0
2001-01-01,988.0
2001-02-01,1002.0
2001-03-01,972.0
2001-04-01,988.0
2001-05-01,1017.0
2001-06-01,1010.0
2001-07-01,995.0
2001-08-01,1019.0
2001-09-01,1085.0
2001-10-01,1046.0
2001-11-01,1026.0
2001-12-01,1034.0
2002-01-01,1050.0
2002-02-01,1114.0
2002-03-01,1128.0
2002-04-01,1158.0
2002-05-01,1214.0
2002-06-01,1191.0
2002-07-01,1138.0
2002-08-01,1162.0
2002-09-01,1195.0
2002-10-01,1182.0
2002-11-01,1185.0
2002-12-01,1299.0
2003-01-01,1364.0
2003-02-01,1316.0
2003-03-01,1234.0
2003-04-01,1239.0
2003-05-01,1352.0
2003-06-01,1286.0
2003-07-01,1338.0
2003-08-01,1383.0
2003-09-01,1422.0
2003-10-01,1451.0
2003-11-01,1478.0
2003-12-01,1553.0
2004-01-01,1523.0
2004-02-01,1471.0
2004-03-01,1566.0
2004-04-01,1435.0
2004-05-01,1469.0
2004-06-01,1477.0
2004-07-01,1448.0
2004-08-01,1515.0
2004-09-01,1539.0
2004-10-01,1594.0
2004-11-01,1683.0
2004-12-01,1625.0
2005-01-01,1592.0
2005-02-01,1618.0
2005-03-01,1592.0
2005-04-01,1615.0
2005-05-01,1562.0
2005-06-01,1625.0
2005-07-01,1590.0
2005-08-01,1618.0
2005-09-01,1764.0
2005-10-01,1763.0
2005-11-01,1854.0
2005-12-01,1922.0
2006-01-01,2100.0
2006-02-01,2071.0
2006-03-01,2170.0
2006-04-01,2393.0
2006-05-01,2450.0
2006-06-01,2186.0
2006-07-01,2367.0
2006-08-01,2300.0
2006-09-01,2252.0
2006-10-01,2264.0
2006-11-01,2381.0
2006-12-01,2354.0
2007-01-01,2403.0
2007-02-01,2540.0
2007-03-01,2475.0
2007-04-01,2520.0
2007-05-01,2456.0
2007-06-01,2424.0
2007-07-01,2487.0
2007-08-01,2501.0
2007-09-01,2764.0
2007-10-01,2935.0
2007-11-01,2946.0
2007-12-01,3117.0
2008-01-01,3447.0
2008-02-01,3622.0
2008-03-01,3492.0
2008-04-01,3245.0
2008-05-01,3295.0
2008-06-01,3477.0
2008-07-01,3416.0
2008-08-01,3116.0
2008-09-01,3325.0
2008-10-01,2724.0
2008-11-01,3039.0
2008-12-01,3238.0
2009-01-01,3430.0
2009-02-01,3538.0
2009-03-01,3425.0
2009-04-01,3308.0
2009-05-01,3635.0
2009-06-01,3500.0
2009-07-01,3500.0
2009-08-01,3558.0
2009-09-01,3727.0
2009-10-01,3890.0
2009-11-01,4415.0
2009-12-01,4121.0
2010-01-01,4034.0
2010-02-01,4145.0
2010-03-01,4153.0
2010-04-01,4394.0
2010-05-01,4520.0
2010-06-01,4637.0
2010-07-01,4362.0
2010-08-01,4628.0
2010-09-01,4886.0
2010-10-01,4952.0
2010-11-01,5148.0
2010-12-01,5258.0
2011-01-01,4966.0
2011-02-01,5269.0
2011-03-01,5357.0
2011-04-01,5723.0
2011-05-01,5736.0
2011-06-01,5624.0
2011-07-01,6051.0
2011-08-01,6673.0
2011-09-01,6064.0
2011-10-01,7618.0
2011-11-01,9932.0
2011-12-01,9888.0
2012-01-01,11163.0
2012-02-01,11332.0
2012-03-01,11198.0
2012-04-01,12747.0
2012-05-01,12308.0
2012-06-01,12438.0
2012-07-01,15068.0
2012-08-01,15706.0
