Tarih,TP_DOVVARNC_K10
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,-2968.0
2000-09-01,-3015.0
2000-10-01,-2958.0
2000-11-01,-3087.0
2000-12-01,-3249.0
2001-01-01,-3297.0
2001-02-01,-3536.0
2001-03-01,-3453.0
2001-04-01,-3468.0
2001-05-01,-3378.0
2001-06-01,-3337.0
2001-07-01,-3499.0
2001-08-01,-3528.0
2001-09-01,-3644.0
2001-10-01,-3724.0
2001-11-01,-3590.0
2001-12-01,-4064.0
2002-01-01,-4311.0
2002-02-01,-5054.0
2002-03-01,-5075.0
2002-04-01,-5519.0
2002-05-01,-5556.0
2002-06-01,-5787.0
2002-07-01,-5841.0
2002-08-01,-6073.0
2002-09-01,-6183.0
2002-10-01,-6335.0
2002-11-01,-6314.0
2002-12-01,-6373.0
2003-01-01,-6737.0
2003-02-01,-6636.0
2003-03-01,-6400.0
2003-04-01,-6545.0
2003-05-01,-6694.0
2003-06-01,-6530.0
2003-07-01,-6342.0
2003-08-01,-6024.0
2003-09-01,-6268.0
2003-10-01,-6136.0
2003-11-01,-6106.0
2003-12-01,-6292.0
2004-01-01,-6261.0
2004-02-01,-6230.0
2004-03-01,-6055.0
2004-04-01,-6016.0
2004-05-01,-6080.0
2004-06-01,-6299.0
2004-07-01,-6466.0
2004-08-01,-6446.0
2004-09-01,-6603.0
2004-10-01,-6848.0
2004-11-01,-6996.0
2004-12-01,-6897.0
2005-01-01,-6761.0
2005-02-01,-6633.0
2005-03-01,-6562.0
2005-04-01,-6589.0
2005-05-01,-6476.0
2005-06-01,-6453.0
2005-07-01,-6473.0
2005-08-01,-6309.0
2005-09-01,-6303.0
2005-10-01,-6358.0
2005-11-01,-6332.0
2005-12-01,-6478.0
2006-01-01,-6607.0
2006-02-01,-6444.0
2006-03-01,-6681.0
2006-04-01,-6850.0
2006-05-01,-6759.0
2006-06-01,-6722.0
2006-07-01,-6855.0
2006-08-01,-6702.0
2006-09-01,-6590.0
2006-10-01,-6670.0
2006-11-01,-6479.0
2006-12-01,-6596.0
2007-01-01,-6734.0
2007-02-01,-6688.0
2007-03-01,-6713.0
2007-04-01,-6672.0
2007-05-01,-6459.0
2007-06-01,-6473.0
2007-07-01,-6452.0
2007-08-01,-6346.0
2007-09-01,-6359.0
2007-10-01,-6307.0
2007-11-01,-6053.0
2007-12-01,-6036.0
2008-01-01,-5894.0
2008-02-01,-5746.0
2008-03-01,-5815.0
2008-04-01,-5832.0
2008-05-01,-5784.0
2008-06-01,-5822.0
2008-07-01,-5762.0
2008-08-01,-5587.0
2008-09-01,-5683.0
2008-10-01,-5473.0
2008-11-01,-5337.0
2008-12-01,-5392.0
2009-01-01,-5277.0
2009-02-01,-5216.0
2009-03-01,-5199.0
2009-04-01,-4904.0
2009-05-01,-5047.0
2009-06-01,-4958.0
2009-07-01,-4955.0
2009-08-01,-4968.0
2009-09-01,-4865.0
2009-10-01,-4781.0
2009-11-01,-4748.0
2009-12-01,-4570.0
2010-01-01,-4590.0
2010-02-01,-4387.0
2010-03-01,-4386.0
2010-04-01,-4340.0
2010-05-01,-4414.0
2010-06-01,-4315.0
2010-07-01,-4386.0
2010-08-01,-4415.0
2010-09-01,-4465.0
2010-10-01,-4441.0
2010-11-01,-4307.0
2010-12-01,-4324.0
2011-01-01,-4325.0
2011-02-01,-4336.0
2011-03-01,-4388.0
2011-04-01,-4443.0
2011-05-01,-4352.0
2011-06-01,-4333.0
2011-07-01,-4263.0
2011-08-01,-4292.0
