Tarih,TP_YDYDYULKE_NAFR
2000-01-01,40.0
2001-01-01,52.0
2002-01-01,26.0
2003-01-01,49.0
2004-01-01,49.0
2005-01-01,71.0
2006-01-01,78.0
2007-01-01,98.0
2008-01-01,100.0
2009-01-01,195.0
2010-01-01,243.0
2011-01-01,142.0
2012-01-01,230.0
2013-01-01,150.0
2014-01-01,184.0
2015-01-01,123.0
2016-01-01,103.0
2017-01-01,134.0
2018-01-01,89.0
2019-01-01,135.0
2020-01-01,157.0
2021-01-01,128.0
2022-01-01,181.0
2023-01-01,96.0
2024-01-01,214.0
