Tarih,TP_YDYDYULKE_IR
2000-01-01,35.0
2001-01-01,33.0
2002-01-01,18.0
2003-01-01,37.0
2004-01-01,23.0
2005-01-01,30.0
2006-01-01,73.0
2007-01-01,258.0
2008-01-01,120.0
2009-01-01,107.0
2010-01-01,196.0
2011-01-01,197.0
2012-01-01,297.0
2013-01-01,227.0
2014-01-01,240.0
2015-01-01,192.0
2016-01-01,176.0
2017-01-01,89.0
2018-01-01,69.0
2019-01-01,102.0
2020-01-01,90.0
2021-01-01,75.0
2022-01-01,104.0
2023-01-01,84.0
2024-01-01,41.0
