Tarih,TP_YDYDYULKE_FI
2000-01-01,34.0
2001-01-01,581.0
2002-01-01,291.0
2003-01-01,1309.0
2004-01-01,1783.0
2005-01-01,6004.0
2006-01-01,7913.0
2007-01-01,9363.0
2008-01-01,4925.0
2009-01-01,5985.0
2010-01-01,6169.0
2011-01-01,4333.0
2012-01-01,5887.0
2013-01-01,4527.0
2014-01-01,5391.0
2015-01-01,216.0
2016-01-01,2437.0
2017-01-01,2351.0
2018-01-01,1284.0
2019-01-01,1280.0
2020-01-01,45.0
2021-01-01,54.0
2022-01-01,290.0
2023-01-01,183.0
2024-01-01,160.0
