Tarih,TP_YDYDYULKE_NO
2000-01-01,26.0
2001-01-01,16.0
2002-01-01,20.0
2003-01-01,27.0
2004-01-01,26.0
2005-01-01,33.0
2006-01-01,50.0
2007-01-01,90.0
2008-01-01,29.0
2009-01-01,127.0
2010-01-01,272.0
2011-01-01,320.0
2012-01-01,811.0
2013-01-01,439.0
2014-01-01,849.0
2015-01-01,844.0
2016-01-01,760.0
2017-01-01,818.0
2018-01-01,522.0
2019-01-01,596.0
2020-01-01,767.0
2021-01-01,480.0
2022-01-01,962.0
2023-01-01,1033.0
2024-01-01,2170.0
