Tarih,TP_YDYDYULKE_AU
2000-01-01,0.0
2001-01-01,0.0
2002-01-01,0.0
2003-01-01,0.0
2004-01-01,0.0
2005-01-01,0.0
2006-01-01,69.0
2007-01-01,154.0
2008-01-01,29.0
2009-01-01,19.0
2010-01-01,204.0
2011-01-01,145.0
2012-01-01,296.0
2013-01-01,177.0
2014-01-01,62.0
2015-01-01,44.0
2016-01-01,64.0
2017-01-01,155.0
2018-01-01,122.0
2019-01-01,137.0
2020-01-01,102.0
2021-01-01,7.0
2022-01-01,61.0
2023-01-01,118.0
2024-01-01,214.0
