Tarih,TP_YDYDYULKE_AFR
2000-01-01,40.0
2001-01-01,52.0
2002-01-01,26.0
2003-01-01,53.0
2004-01-01,49.0
2005-01-01,71.0
2006-01-01,79.0
2007-01-01,151.0
2008-01-01,113.0
2009-01-01,199.0
2010-01-01,359.0
2011-01-01,176.0
2012-01-01,277.0
2013-01-01,162.0
2014-01-01,249.0
2015-01-01,193.0
2016-01-01,116.0
2017-01-01,194.0
2018-01-01,125.0
2019-01-01,199.0
2020-01-01,343.0
2021-01-01,135.0
2022-01-01,478.0
2023-01-01,327.0
2024-01-01,243.0
