Tarih,TP_YDYDYULKE_SE
2000-01-01,30.0
2001-01-01,13.0
2002-01-01,67.0
2003-01-01,108.0
2004-01-01,130.0
2005-01-01,196.0
2006-01-01,213.0
2007-01-01,303.0
2008-01-01,126.0
2009-01-01,290.0
2010-01-01,341.0
2011-01-01,224.0
2012-01-01,421.0
2013-01-01,355.0
2014-01-01,419.0
2015-01-01,3180.0
2016-01-01,381.0
2017-01-01,327.0
2018-01-01,213.0
2019-01-01,1036.0
2020-01-01,1235.0
2021-01-01,669.0
2022-01-01,933.0
2023-01-01,450.0
2024-01-01,511.0
