Tarih,TP_YDYDYULKE_AT
2000-01-01,7.0
2001-01-01,19.0
2002-01-01,21.0
2003-01-01,51.0
2004-01-01,79.0
2005-01-01,153.0
2006-01-01,565.0
2007-01-01,4393.0
2008-01-01,2289.0
2009-01-01,5864.0
2010-01-01,10678.0
2011-01-01,12358.0
2012-01-01,18154.0
2013-01-01,7975.0
2014-01-01,10519.0
2015-01-01,8991.0
2016-01-01,9542.0
2017-01-01,4880.0
2018-01-01,2628.0
2019-01-01,3357.0
2020-01-01,5540.0
2021-01-01,4042.0
2022-01-01,8492.0
2023-01-01,6067.0
2024-01-01,5867.0
