Tarih,TP_YDYDYULKE_JE
2000-01-01,0.0
2001-01-01,63.0
2002-01-01,0.0
2003-01-01,68.0
2004-01-01,163.0
2005-01-01,430.0
2006-01-01,510.0
2007-01-01,435.0
2008-01-01,178.0
2009-01-01,498.0
2010-01-01,47.0
2011-01-01,171.0
2012-01-01,241.0
2013-01-01,272.0
2014-01-01,414.0
2015-01-01,272.0
2016-01-01,260.0
2017-01-01,406.0
2018-01-01,140.0
2019-01-01,225.0
2020-01-01,459.0
2021-01-01,725.0
2022-01-01,460.0
2023-01-01,681.0
2024-01-01,860.0
