Tarih,TP_YDYDYULKE_EU
2000-01-01,15582.0
2001-01-01,15625.0
2002-01-01,13256.0
2003-01-01,24104.0
2004-01-01,29764.0
2005-01-01,56946.0
2006-01-01,75811.0
2007-01-01,121459.0
2008-01-01,60960.0
2009-01-01,111447.0
2010-01-01,141546.0
2011-01-01,104828.0
2012-01-01,149501.0
2013-01-01,115929.0
2014-01-01,138626.0
2015-01-01,118287.0
2016-01-01,106129.0
2017-01-01,139772.0
2018-01-01,103823.0
2019-01-01,101060.0
2020-01-01,147374.0
2021-01-01,88122.0
2022-01-01,189931.0
2023-01-01,147913.0
2024-01-01,151942.0
