Tarih,TP_YDYDYULKE_TWR
2000-01-01,18812.0
2001-01-01,18686.0
2002-01-01,16270.0
2003-01-01,30595.0
2004-01-01,37175.0
2005-01-01,69907.0
2006-01-01,93448.0
2007-01-01,151929.0
2008-01-01,75407.0
2009-01-01,138010.0
2010-01-01,181171.0
2011-01-01,130912.0
2012-01-01,183767.0
2013-01-01,143475.0
2014-01-01,174802.0
2015-01-01,147587.0
2016-01-01,136435.0
2017-01-01,182706.0
2018-01-01,132169.0
2019-01-01,148800.0
2020-01-01,218601.0
2021-01-01,129075.0
2022-01-01,249334.0
2023-01-01,202026.0
2024-01-01,208612.0
