Tarih,TP_YDYDYULKE_IE
2000-01-01,89.0
2001-01-01,44.0
2002-01-01,8.0
2003-01-01,13.0
2004-01-01,57.0
2005-01-01,0.0
2006-01-01,52.0
2007-01-01,61.0
2008-01-01,36.0
2009-01-01,8.0
2010-01-01,4.0
2011-01-01,1549.0
2012-01-01,2179.0
2013-01-01,1784.0
2014-01-01,2077.0
2015-01-01,1824.0
2016-01-01,1686.0
2017-01-01,1899.0
2018-01-01,1301.0
2019-01-01,1844.0
2020-01-01,2575.0
2021-01-01,2132.0
2022-01-01,4632.0
2023-01-01,1317.0
2024-01-01,1348.0
