Tarih,TP_YDYDYULKE_SA
2000-01-01,193.0
2001-01-01,142.0
2002-01-01,135.0
2003-01-01,346.0
2004-01-01,247.0
2005-01-01,498.0
2006-01-01,717.0
2007-01-01,1248.0
2008-01-01,991.0
2009-01-01,1969.0
2010-01-01,2671.0
2011-01-01,1123.0
2012-01-01,1901.0
2013-01-01,1387.0
2014-01-01,1811.0
2015-01-01,1239.0
2016-01-01,994.0
2017-01-01,928.0
2018-01-01,591.0
2019-01-01,805.0
2020-01-01,864.0
2021-01-01,261.0
2022-01-01,692.0
2023-01-01,674.0
2024-01-01,933.0
