Tarih,TP_YDYDYULKE_JO
2000-01-01,0.0
2001-01-01,1.0
2002-01-01,1.0
2003-01-01,2.0
2004-01-01,0.0
2005-01-01,0.0
2006-01-01,4.0
2007-01-01,100.0
2008-01-01,64.0
2009-01-01,115.0
2010-01-01,146.0
2011-01-01,87.0
2012-01-01,125.0
2013-01-01,98.0
2014-01-01,143.0
2015-01-01,104.0
2016-01-01,70.0
2017-01-01,83.0
2018-01-01,21.0
2019-01-01,11.0
2020-01-01,52.0
2021-01-01,13.0
2022-01-01,18.0
2023-01-01,17.0
2024-01-01,26.0
