Tarih,TP_YDYDYULKE_LB
2000-01-01,19.0
2001-01-01,12.0
2002-01-01,16.0
2003-01-01,32.0
2004-01-01,17.0
2005-01-01,31.0
2006-01-01,36.0
2007-01-01,128.0
2008-01-01,75.0
2009-01-01,159.0
2010-01-01,392.0
2011-01-01,185.0
2012-01-01,693.0
2013-01-01,814.0
2014-01-01,909.0
2015-01-01,528.0
2016-01-01,757.0
2017-01-01,831.0
2018-01-01,456.0
2019-01-01,530.0
2020-01-01,584.0
2021-01-01,158.0
2022-01-01,281.0
2023-01-01,171.0
2024-01-01,191.0
