Tarih,TP_IYA_FOBE2_S17_A
2015-06-01,36.7
2015-07-01,44.0
2015-08-01,54.5
2015-09-01,47.3
2015-10-01,47.2
2015-11-01,34.9
2015-12-01,30.7
2016-01-01,26.0
2016-02-01,39.9
2016-03-01,45.3
2016-04-01,47.7
2016-05-01,38.3
2016-06-01,32.2
2016-07-01,35.8
2016-08-01,48.6
2016-09-01,47.2
2016-10-01,42.3
2016-11-01,30.8
2016-12-01,28.0
2017-01-01,23.5
2017-02-01,32.1
2017-03-01,43.4
2017-04-01,42.8
2017-05-01,41.6
2017-06-01,33.8
2017-07-01,37.7
2017-08-01,45.5
2017-09-01,46.8
2017-10-01,49.8
2017-11-01,31.1
2017-12-01,27.0
2018-01-01,39.6
2018-02-01,39.9
2018-03-01,52.6
2018-04-01,48.4
2018-05-01,38.9
2018-06-01,35.0
2018-07-01,41.1
2018-08-01,38.4
2018-09-01,32.2
2018-10-01,33.8
2018-11-01,22.7
2018-12-01,28.6
2019-01-01,32.9
2019-02-01,36.7
2019-03-01,38.3
2019-04-01,38.5
2019-05-01,28.9
2019-06-01,37.4
2019-07-01,40.0
2019-08-01,37.6
2019-09-01,36.2
2019-10-01,37.8
2019-11-01,33.3
2019-12-01,36.4
2020-01-01,34.5
2020-02-01,41.4
2020-03-01,42.1
2020-04-01,29.9
2020-05-01,33.7
2020-06-01,34.2
2020-07-01,38.6
2020-08-01,38.8
2020-09-01,42.9
2020-10-01,35.5
2020-11-01,28.5
2020-12-01,31.4
2021-01-01,32.9
2021-02-01,33.3
2021-03-01,43.6
2021-04-01,38.8
2021-05-01,24.7
2021-06-01,39.0
2021-07-01,48.0
2021-08-01,41.9
2021-09-01,47.8
2021-10-01,41.2
2021-11-01,34.8
2021-12-01,33.7
2022-01-01,32.3
2022-02-01,26.1
2022-03-01,30.9
2022-04-01,31.3
2022-05-01,35.5
2022-06-01,35.0
2022-07-01,36.9
2022-08-01,42.6
2022-09-01,33.2
2022-10-01,31.3
2022-11-01,23.7
2022-12-01,23.8
2023-01-01,21.2
2023-02-01,22.2
2023-03-01,30.8
2023-04-01,25.9
2023-05-01,31.8
2023-06-01,30.4
2023-07-01,42.5
2023-08-01,34.3
2023-09-01,40.0
2023-10-01,31.3
2023-11-01,31.4
2023-12-01,29.8
2024-01-01,29.5
2024-02-01,32.6
2024-03-01,34.6
2024-04-01,34.8
2024-05-01,28.9
2024-06-01,37.1
2024-07-01,38.3
2024-08-01,37.1
2024-09-01,32.6
2024-10-01,34.4
2024-11-01,26.6
2024-12-01,27.7
2025-01-01,28.3
2025-02-01,21.9
2025-03-01,26.3
2025-04-01,34.0
2025-05-01,30.1
2025-06-01,31.3
2025-07-01,37.3
2025-08-01,33.3
2025-09-01,34.2
