Tarih,TP_IN_KL2_APT_TOP_A
2015-09-01,5712.0
2015-10-01,6368.0
2015-11-01,6165.0
2015-12-01,9685.0
2016-01-01,5351.0
2016-02-01,5577.0
2016-03-01,6397.0
2016-04-01,6111.0
2016-05-01,6251.0
2016-06-01,7184.0
2016-07-01,4261.0
2016-08-01,6695.0
2016-09-01,5221.0
2016-10-01,6629.0
2016-11-01,7961.0
2016-12-01,9504.0
2017-01-01,6618.0
2017-02-01,5981.0
2017-03-01,7023.0
2017-04-01,6415.0
2017-05-01,7121.0
2017-06-01,6504.0
2017-07-01,6219.0
2017-08-01,7030.0
2017-09-01,6107.0
2017-10-01,7776.0
2017-11-01,7873.0
2017-12-01,9911.0
2018-01-01,7061.0
2018-02-01,6287.0
2018-03-01,7247.0
2018-04-01,6581.0
2018-05-01,7802.0
2018-06-01,6194.0
2018-07-01,7973.0
2018-08-01,6224.0
2018-09-01,7317.0
2018-10-01,8835.0
2018-11-01,8565.0
2018-12-01,10196.0
2019-01-01,6338.0
2019-02-01,6051.0
2019-03-01,9831.0
2019-04-01,5268.0
2019-05-01,5545.0
2019-06-01,3047.0
2019-07-01,5059.0
2019-08-01,3941.0
2019-09-01,4696.0
2019-10-01,4740.0
2019-11-01,4827.0
2019-12-01,7005.0
2020-01-01,4592.0
2020-02-01,4319.0
2020-03-01,4193.0
2020-04-01,2597.0
2020-05-01,2489.0
2020-06-01,4518.0
2020-07-01,4830.0
2020-08-01,4262.0
2020-09-01,4737.0
2020-10-01,4588.0
2020-11-01,4331.0
2020-12-01,6143.0
2021-01-01,4350.0
2021-02-01,4099.0
2021-03-01,5156.0
2021-04-01,4054.0
2021-05-01,2348.0
2021-06-01,4558.0
2021-07-01,3826.0
2021-08-01,4147.0
2021-09-01,4861.0
2021-10-01,5010.0
2021-11-01,5320.0
2021-12-01,7786.0
2022-01-01,4509.0
2022-02-01,4338.0
2022-03-01,4781.0
2022-04-01,5065.0
2022-05-01,3475.0
2022-06-01,5032.0
2022-07-01,3440.0
2022-08-01,4505.0
2022-09-01,4522.0
2022-10-01,4233.0
2022-11-01,4689.0
2022-12-01,7851.0
2023-01-01,4638.0
2023-02-01,3144.0
2023-03-01,3536.0
2023-04-01,2955.0
2023-05-01,3679.0
2023-06-01,3024.0
2023-07-01,2901.0
2023-08-01,3585.0
2023-09-01,3658.0
2023-10-01,3880.0
2023-11-01,3887.0
2023-12-01,8198.0
2024-01-01,4331.0
2024-02-01,4221.0
2024-03-01,6569.0
2024-04-01,2312.0
2024-05-01,3251.0
2024-06-01,2469.0
2024-07-01,3568.0
2024-08-01,3622.0
2024-09-01,3746.0
2024-10-01,4207.0
2024-11-01,4489.0
2024-12-01,9532.0
2025-01-01,4583.0
2025-02-01,3888.0
2025-03-01,3705.0
2025-04-01,2746.0
2025-05-01,3870.0
2025-06-01,3690.0
