Tarih,TP_IN_KL2_KAMU_TOP_B
2015-09-01,500738.9
2015-10-01,432321.7
2015-11-01,447872.1
2015-12-01,851180.5
2016-01-01,430867.5
2016-02-01,526629.4
2016-03-01,474155.1
2016-04-01,777826.7
2016-05-01,341283.6
2016-06-01,673167.9
2016-07-01,395202.0
2016-08-01,730371.0
2016-09-01,516998.2
2016-10-01,580736.7
2016-11-01,698963.4
2016-12-01,758771.0
2017-01-01,889293.0
2017-02-01,997266.2
2017-03-01,786697.0
2017-04-01,416168.0
2017-05-01,570857.3
2017-06-01,389312.4
2017-07-01,833732.0
2017-08-01,670757.8
2017-09-01,901634.9
2017-10-01,691950.6
2017-11-01,765207.0
2017-12-01,785646.3
2018-01-01,514522.4
2018-02-01,606446.6
2018-03-01,616113.8
2018-04-01,382527.0
2018-05-01,885630.3
2018-06-01,525273.7
2018-07-01,819953.7
2018-08-01,663664.5
2018-09-01,794311.8
2018-10-01,530524.8
2018-11-01,546589.1
2018-12-01,1134396.5
2019-01-01,607828.5
2019-02-01,462019.1
2019-03-01,1033750.0
2019-04-01,436067.8
2019-05-01,787300.0
2019-06-01,247294.0
2019-07-01,980148.9
2019-08-01,605869.2
2019-09-01,613408.4
2019-10-01,667116.6
2019-11-01,346928.7
2019-12-01,968776.9
2020-01-01,622449.8
2020-02-01,434104.4
2020-03-01,946056.8
2020-04-01,486540.4
2020-05-01,275126.9
2020-06-01,508426.5
2020-07-01,750227.4
2020-08-01,754731.0
2020-09-01,474738.4
2020-10-01,747056.8
2020-11-01,473368.8
2020-12-01,531648.6
2021-01-01,503924.1
2021-02-01,414534.5
2021-03-01,847071.2
2021-04-01,330501.9
2021-05-01,278234.7
2021-06-01,351975.5
2021-07-01,354430.3
2021-08-01,502847.0
2021-09-01,363831.0
2021-10-01,454051.7
2021-11-01,379708.3
2021-12-01,557246.9
2022-01-01,311953.8
2022-02-01,317012.4
2022-03-01,380317.7
2022-04-01,391654.4
2022-05-01,289437.7
2022-06-01,313449.1
2022-07-01,210350.7
2022-08-01,298542.4
2022-09-01,673812.5
2022-10-01,380862.4
2022-11-01,356365.4
2022-12-01,1691664.0
2023-01-01,350932.4
2023-02-01,162788.2
2023-03-01,256350.2
2023-04-01,174492.6
2023-05-01,207408.1
2023-06-01,201507.8
2023-07-01,261547.1
2023-08-01,503504.3
2023-09-01,315476.7
2023-10-01,374928.0
2023-11-01,948754.4
2023-12-01,537032.3
2024-01-01,458217.7
2024-02-01,341928.8
2024-03-01,883616.5
2024-04-01,859594.5
2024-05-01,688602.4
2024-06-01,267157.8
2024-07-01,302936.3
2024-08-01,310113.1
2024-09-01,652795.4
2024-10-01,581584.1
2024-11-01,498412.4
2024-12-01,571442.7
2025-01-01,403563.3
2025-02-01,496210.6
2025-03-01,417972.0
2025-04-01,302223.3
2025-05-01,341529.7
2025-06-01,328820.7
