Tarih,TP_IN_KL2_HALK_DEV_B
2015-09-01,67922.0
2015-10-01,106456.0
2015-11-01,17756.0
2015-12-01,36244.1
2016-01-01,33389.1
2016-02-01,74015.0
2016-03-01,68256.0
2016-04-01,79118.9
2016-05-01,38477.6
2016-06-01,66380.6
2016-07-01,37695.0
2016-08-01,41666.0
2016-09-01,178031.0
2016-10-01,33185.0
2016-11-01,32561.3
2016-12-01,34630.0
2017-01-01,16010.0
2017-02-01,47566.0
2017-03-01,53474.0
2017-04-01,17454.0
2017-05-01,49636.0
2017-06-01,43936.0
2017-07-01,35941.0
2017-08-01,46902.0
2017-09-01,163387.2
2017-10-01,34175.0
2017-11-01,13735.0
2017-12-01,39414.0
2018-01-01,41382.0
2018-02-01,33845.0
2018-03-01,120293.0
2018-04-01,19092.9
2018-05-01,18993.0
2018-06-01,7769.1
2018-07-01,13009.0
2018-08-01,51415.4
2018-09-01,38096.0
2018-10-01,65276.0
2018-11-01,15966.0
2018-12-01,18380.0
2019-01-01,69351.4
2019-02-01,7008.0
2019-03-01,108134.0
2019-04-01,9830.0
2019-05-01,34759.0
2019-06-01,38020.0
2019-07-01,9069.0
2019-08-01,43200.0
2019-09-01,31621.7
2019-10-01,28663.0
2019-11-01,54872.0
2019-12-01,21194.0
2020-01-01,37150.0
2020-02-01,32566.9
2020-03-01,12566.0
2020-04-01,15440.0
2020-05-01,25606.0
2020-06-01,7922.0
2020-07-01,2659.0
2020-08-01,19141.0
2020-09-01,11684.0
2020-10-01,30407.0
2020-11-01,19817.0
2020-12-01,77368.0
2021-01-01,69311.0
2021-02-01,10031.0
2021-03-01,71275.0
2021-04-01,45101.0
2021-05-01,36162.0
2021-06-01,44588.9
2021-07-01,54874.0
2021-08-01,36345.0
2021-09-01,16866.0
2021-10-01,89898.0
2021-11-01,38991.0
2021-12-01,116998.0
2022-01-01,43121.5
2022-02-01,27079.1
2022-03-01,10479.5
2022-04-01,16030.3
2022-05-01,79076.9
2022-06-01,5323.0
2022-07-01,
2022-08-01,38405.2
2022-09-01,55683.1
2022-10-01,45583.2
2022-11-01,27316.5
2022-12-01,37464.8
