Tarih,TP_IN_KL2_TOPLAM_OZE_A
2015-09-01,7976.0
2015-10-01,8508.0
2015-11-01,9285.0
2015-12-01,13638.0
2016-01-01,7581.0
2016-02-01,7804.0
2016-03-01,8852.0
2016-04-01,8535.0
2016-05-01,8947.0
2016-06-01,10289.0
2016-07-01,6421.0
2016-08-01,9294.0
2016-09-01,7470.0
2016-10-01,9301.0
2016-11-01,10958.0
2016-12-01,13085.0
2017-01-01,9122.0
2017-02-01,7889.0
2017-03-01,9269.0
2017-04-01,8780.0
2017-05-01,9741.0
2017-06-01,8960.0
2017-07-01,8901.0
2017-08-01,9854.0
2017-09-01,8425.0
2017-10-01,10649.0
2017-11-01,10808.0
2017-12-01,13293.0
2018-01-01,9537.0
2018-02-01,8647.0
2018-03-01,9775.0
2018-04-01,9014.0
2018-05-01,10404.0
2018-06-01,8631.0
2018-07-01,11118.0
2018-08-01,8644.0
2018-09-01,10187.0
2018-10-01,11912.0
2018-11-01,11678.0
2018-12-01,13640.0
2019-01-01,8387.0
2019-02-01,7913.0
2019-03-01,13376.0
2019-04-01,6971.0
2019-05-01,7609.0
2019-06-01,4483.0
2019-07-01,6900.0
2019-08-01,5358.0
2019-09-01,6476.0
2019-10-01,6592.0
2019-11-01,6636.0
2019-12-01,9332.0
2020-01-01,6190.0
2020-02-01,5502.0
2020-03-01,5438.0
2020-04-01,3489.0
2020-05-01,3729.0
2020-06-01,6678.0
2020-07-01,7194.0
2020-08-01,5952.0
2020-09-01,6934.0
2020-10-01,7012.0
2020-11-01,6772.0
2020-12-01,9605.0
2021-01-01,6784.0
2021-02-01,6260.0
2021-03-01,7452.0
2021-04-01,6647.0
2021-05-01,3951.0
2021-06-01,7596.0
2021-07-01,6688.0
2021-08-01,7177.0
2021-09-01,8048.0
2021-10-01,8016.0
2021-11-01,8879.0
2021-12-01,12973.0
2022-01-01,6883.0
2022-02-01,6627.0
2022-03-01,7599.0
2022-04-01,8101.0
2022-05-01,5866.0
2022-06-01,8352.0
2022-07-01,5913.0
2022-08-01,8422.0
2022-09-01,8125.0
2022-10-01,7846.0
2022-11-01,8355.0
2022-12-01,13918.0
2023-01-01,7930.0
2023-02-01,5276.0
2023-03-01,5796.0
2023-04-01,5139.0
2023-05-01,6653.0
2023-06-01,5802.0
2023-07-01,5745.0
2023-08-01,7012.0
2023-09-01,6622.0
2023-10-01,7431.0
2023-11-01,7150.0
2023-12-01,14282.0
2024-01-01,7813.0
2024-02-01,7547.0
2024-03-01,12610.0
2024-04-01,4485.0
2024-05-01,5890.0
2024-06-01,4668.0
2024-07-01,6331.0
2024-08-01,6812.0
2024-09-01,6916.0
2024-10-01,7617.0
2024-11-01,7704.0
2024-12-01,15985.0
2025-01-01,8006.0
2025-02-01,6286.0
2025-03-01,5952.0
2025-04-01,4573.0
2025-05-01,6287.0
2025-06-01,6484.0
