Tarih,TP_IN_KL2_KAMU_DEV_B
2015-09-01,364070.7
2015-10-01,346467.7
2015-11-01,307058.1
2015-12-01,599351.4
2016-01-01,301372.5
2016-02-01,364768.9
2016-03-01,271873.1
2016-04-01,662598.7
2016-05-01,251489.6
2016-06-01,428154.9
2016-07-01,238839.6
2016-08-01,430185.0
2016-09-01,346179.0
2016-10-01,404270.7
2016-11-01,513183.7
2016-12-01,574138.0
2017-01-01,804793.0
2017-02-01,822967.2
2017-03-01,653119.0
2017-04-01,276497.0
2017-05-01,463651.3
2017-06-01,239968.0
2017-07-01,579972.0
2017-08-01,368724.8
2017-09-01,775919.9
2017-10-01,483890.6
2017-11-01,600533.5
2017-12-01,542851.7
2018-01-01,393712.4
2018-02-01,534141.6
2018-03-01,504920.5
2018-04-01,229994.4
2018-05-01,759528.3
2018-06-01,384974.1
2018-07-01,619390.7
2018-08-01,331023.5
2018-09-01,516395.0
2018-10-01,418357.2
2018-11-01,363915.5
2018-12-01,730688.8
2019-01-01,448117.5
2019-02-01,376630.1
2019-03-01,540163.0
2019-04-01,327048.8
2019-05-01,598262.2
2019-06-01,201032.0
2019-07-01,751861.2
2019-08-01,452598.3
2019-09-01,479166.4
2019-10-01,416445.6
2019-11-01,284638.7
2019-12-01,713614.3
2020-01-01,493105.3
2020-02-01,371299.8
2020-03-01,825959.8
2020-04-01,316640.0
2020-05-01,179514.9
2020-06-01,359417.0
2020-07-01,492560.4
2020-08-01,624118.0
2020-09-01,386027.4
2020-10-01,641481.8
2020-11-01,409671.8
2020-12-01,362660.7
2021-01-01,439684.1
2021-02-01,335497.5
2021-03-01,752926.2
2021-04-01,297424.9
2021-05-01,229157.4
2021-06-01,333752.9
2021-07-01,231287.4
2021-08-01,387573.9
2021-09-01,342286.8
2021-10-01,407490.3
2021-11-01,320776.5
2021-12-01,440404.2
2022-01-01,221469.7
2022-02-01,206800.1
2022-03-01,285218.0
2022-04-01,361819.6
2022-05-01,214420.0
2022-06-01,239021.9
2022-07-01,146667.4
2022-08-01,188139.6
2022-09-01,553304.0
2022-10-01,342439.0
2022-11-01,296315.7
2022-12-01,1568789.5
2023-01-01,284585.9
2023-02-01,135472.5
2023-03-01,222465.2
2023-04-01,140703.5
2023-05-01,170193.5
2023-06-01,182857.8
2023-07-01,208253.4
2023-08-01,300552.6
2023-09-01,247030.5
2023-10-01,322724.4
2023-11-01,902375.7
2023-12-01,447145.7
2024-01-01,311864.8
2024-02-01,293339.8
2024-03-01,727563.9
2024-04-01,833519.4
2024-05-01,667387.6
2024-06-01,247642.6
2024-07-01,251710.7
2024-08-01,277233.6
2024-09-01,622385.0
2024-10-01,513897.5
2024-11-01,448965.5
2024-12-01,437045.1
2025-01-01,378369.5
2025-02-01,438258.1
2025-03-01,389185.0
2025-04-01,277492.2
2025-05-01,296349.9
2025-06-01,219446.7
