Tarih,TP_IN_KL2_TOPLAM_DEV_D
2015-09-01,3686.0
2015-10-01,8292.0
2015-11-01,2494.0
2015-12-01,5169.0
2016-01-01,1728.0
2016-02-01,3697.0
2016-03-01,2327.0
2016-04-01,4204.0
2016-05-01,6137.0
2016-06-01,2882.0
2016-07-01,3258.0
2016-08-01,6553.0
2016-09-01,4372.0
2016-10-01,5033.0
2016-11-01,6200.0
2016-12-01,5219.0
2017-01-01,4898.0
2017-02-01,3456.0
2017-03-01,7742.0
2017-04-01,2934.0
2017-05-01,3593.0
2017-06-01,1952.0
2017-07-01,2889.0
2017-08-01,2174.0
2017-09-01,2919.0
2017-10-01,5814.0
2017-11-01,4817.0
2017-12-01,5379.0
2018-01-01,9738.0
2018-02-01,2359.0
2018-03-01,5522.0
2018-04-01,5110.0
2018-05-01,13268.0
2018-06-01,6075.0
2018-07-01,5038.0
2018-08-01,3023.0
2018-09-01,7244.0
2018-10-01,3761.0
2018-11-01,6376.0
2018-12-01,7583.0
2019-01-01,8111.0
2019-02-01,6156.0
2019-03-01,10099.0
2019-04-01,5502.0
2019-05-01,3117.0
2019-06-01,1547.0
2019-07-01,6815.0
2019-08-01,4955.0
2019-09-01,4172.0
2019-10-01,3231.0
2019-11-01,3704.0
2019-12-01,6880.0
2020-01-01,4322.0
2020-02-01,6166.0
2020-03-01,6454.0
2020-04-01,2092.0
2020-05-01,3335.0
2020-06-01,4755.0
2020-07-01,3318.0
2020-08-01,4723.0
2020-09-01,3728.0
2020-10-01,3979.0
2020-11-01,1403.0
2020-12-01,5993.0
2021-01-01,1411.0
2021-02-01,2495.0
2021-03-01,8130.0
2021-04-01,2480.0
2021-05-01,2130.0
2021-06-01,2131.0
2021-07-01,1806.0
2021-08-01,4353.0
2021-09-01,2974.0
2021-10-01,6237.0
2021-11-01,3053.0
2021-12-01,4258.0
2022-01-01,9212.0
2022-02-01,4226.0
2022-03-01,3974.0
2022-04-01,5751.0
2022-05-01,4136.0
2022-06-01,3197.0
2022-07-01,3247.0
2022-08-01,3223.0
2022-09-01,3342.0
2022-10-01,5739.0
2022-11-01,5073.0
2022-12-01,6255.0
2023-01-01,6289.0
2023-02-01,5949.0
2023-03-01,6344.0
2023-04-01,5065.0
2023-05-01,5601.0
2023-06-01,2872.0
2023-07-01,2500.0
2023-08-01,3780.0
2023-09-01,4198.0
2023-10-01,914.0
2023-11-01,3287.0
2023-12-01,10031.0
2024-01-01,7353.0
2024-02-01,10621.0
2024-03-01,10223.0
2024-04-01,2402.0
2024-05-01,5698.0
2024-06-01,5227.0
2024-07-01,8527.0
2024-08-01,7369.0
2024-09-01,7033.0
2024-10-01,7566.0
2024-11-01,12133.0
2024-12-01,14662.0
2025-01-01,7896.0
2025-02-01,11293.0
2025-03-01,10878.0
2025-04-01,6843.0
2025-05-01,10315.0
2025-06-01,7425.0
