Tarih,TP_IN_KL2_OTEL_OZE_B
2015-09-01,315370.0
2015-10-01,114141.0
2015-11-01,150612.1
2015-12-01,281090.4
2016-01-01,55873.0
2016-02-01,120452.1
2016-03-01,195597.2
2016-04-01,282863.5
2016-05-01,350299.0
2016-06-01,296425.0
2016-07-01,187219.3
2016-08-01,201290.0
2016-09-01,245345.0
2016-10-01,168114.7
2016-11-01,169896.2
2016-12-01,545904.0
2017-01-01,301921.9
2017-02-01,129922.6
2017-03-01,252182.0
2017-04-01,129707.0
2017-05-01,181678.1
2017-06-01,135749.4
2017-07-01,96429.5
2017-08-01,144630.9
2017-09-01,259070.0
2017-10-01,194823.0
2017-11-01,331089.5
2017-12-01,287055.6
2018-01-01,186325.7
2018-02-01,174559.0
2018-03-01,87438.0
2018-04-01,231985.0
2018-05-01,245577.4
2018-06-01,171797.0
2018-07-01,208810.0
2018-08-01,179289.6
2018-09-01,232722.2
2018-10-01,144506.3
2018-11-01,180786.0
2018-12-01,267777.4
2019-01-01,392129.0
2019-02-01,78243.2
2019-03-01,455178.0
2019-04-01,80253.2
2019-05-01,110821.3
2019-06-01,59904.0
2019-07-01,120996.0
2019-08-01,79604.1
2019-09-01,81754.0
2019-10-01,75355.0
2019-11-01,74324.9
2019-12-01,108858.0
2020-01-01,69346.6
2020-02-01,54720.3
2020-03-01,35981.0
2020-04-01,24254.2
2020-05-01,105854.0
2020-06-01,170786.2
2020-07-01,221180.4
2020-08-01,91631.7
2020-09-01,30733.1
2020-10-01,83430.0
2020-11-01,42337.0
2020-12-01,100313.0
2021-01-01,154574.0
2021-02-01,225123.0
2021-03-01,69427.6
2021-04-01,150341.0
2021-05-01,117347.5
2021-06-01,92927.0
2021-07-01,92171.0
2021-08-01,78976.0
2021-09-01,134871.0
2021-10-01,60824.6
2021-11-01,39956.0
2021-12-01,194846.1
2022-01-01,69469.8
2022-02-01,178035.0
2022-03-01,141520.8
2022-04-01,81343.6
2022-05-01,135777.4
2022-06-01,132903.0
2022-07-01,29688.1
2022-08-01,54996.2
2022-09-01,173647.1
2022-10-01,152948.3
2022-11-01,67046.5
2022-12-01,390371.8
2023-01-01,61816.7
2023-02-01,58963.4
2023-03-01,102824.7
2023-04-01,34769.9
2023-05-01,144642.3
2023-06-01,76702.5
2023-07-01,82197.0
2023-08-01,97110.8
2023-09-01,111960.8
2023-10-01,57714.3
2023-11-01,47480.7
2023-12-01,223849.1
2024-01-01,106545.4
2024-02-01,139780.7
2024-03-01,507598.1
2024-04-01,54910.6
2024-05-01,115282.9
2024-06-01,121405.6
2024-07-01,50489.1
2024-08-01,193457.7
2024-09-01,57379.3
2024-10-01,79113.2
2024-11-01,83844.4
2024-12-01,196508.8
2025-01-01,39955.1
2025-02-01,106967.0
2025-03-01,150883.7
2025-04-01,58029.0
2025-05-01,73861.1
2025-06-01,97359.4
