Tarih,TP_IN_KL2_APT_OZE_D
2015-09-01,46552.0
2015-10-01,47639.0
2015-11-01,51687.0
2015-12-01,85027.0
2016-01-01,44043.0
2016-02-01,47898.0
2016-03-01,57683.0
2016-04-01,54192.0
2016-05-01,53318.0
2016-06-01,59500.0
2016-07-01,37305.0
2016-08-01,53080.0
2016-09-01,45639.0
2016-10-01,56817.0
2016-11-01,68406.0
2016-12-01,89729.0
2017-01-01,58620.0
2017-02-01,52841.0
2017-03-01,61640.0
2017-04-01,61589.0
2017-05-01,59463.0
2017-06-01,56110.0
2017-07-01,52723.0
2017-08-01,61354.0
2017-09-01,53273.0
2017-10-01,67506.0
2017-11-01,71174.0
2017-12-01,91085.0
2018-01-01,61672.0
2018-02-01,56688.0
2018-03-01,64600.0
2018-04-01,56492.0
2018-05-01,64946.0
2018-06-01,51104.0
2018-07-01,68107.0
2018-08-01,54938.0
2018-09-01,62163.0
2018-10-01,78583.0
2018-11-01,73470.0
2018-12-01,99803.0
2019-01-01,56118.0
2019-02-01,57105.0
2019-03-01,103741.0
2019-04-01,51567.0
2019-05-01,52058.0
2019-06-01,29642.0
2019-07-01,46398.0
2019-08-01,36006.0
2019-09-01,46289.0
2019-10-01,48671.0
2019-11-01,49740.0
2019-12-01,77219.0
2020-01-01,47646.0
2020-02-01,44346.0
2020-03-01,40802.0
2020-04-01,28301.0
2020-05-01,28993.0
2020-06-01,44550.0
2020-07-01,50625.0
2020-08-01,41395.0
2020-09-01,45747.0
2020-10-01,46146.0
2020-11-01,45852.0
2020-12-01,64699.0
2021-01-01,50127.0
2021-02-01,41441.0
2021-03-01,50069.0
2021-04-01,40872.0
2021-05-01,24552.0
2021-06-01,42767.0
2021-07-01,36054.0
2021-08-01,39900.0
2021-09-01,46812.0
2021-10-01,47374.0
2021-11-01,52080.0
2021-12-01,85790.0
2022-01-01,43998.0
2022-02-01,41503.0
2022-03-01,47331.0
2022-04-01,47554.0
2022-05-01,33497.0
2022-06-01,47256.0
2022-07-01,33415.0
2022-08-01,43990.0
2022-09-01,43809.0
2022-10-01,38028.0
2022-11-01,45059.0
2022-12-01,88198.0
2023-01-01,44618.0
2023-02-01,28391.0
2023-03-01,28377.0
2023-04-01,24784.0
2023-05-01,36048.0
2023-06-01,28210.0
2023-07-01,28863.0
2023-08-01,34380.0
2023-09-01,35465.0
2023-10-01,38383.0
2023-11-01,37380.0
2023-12-01,84777.0
2024-01-01,41743.0
2024-02-01,40912.0
2024-03-01,66029.0
2024-04-01,21159.0
2024-05-01,27299.0
2024-06-01,21472.0
2024-07-01,30794.0
2024-08-01,31682.0
2024-09-01,33159.0
2024-10-01,38178.0
2024-11-01,40408.0
2024-12-01,105468.0
2025-01-01,44077.0
2025-02-01,34089.0
2025-03-01,32875.0
2025-04-01,24271.0
2025-05-01,37436.0
2025-06-01,36476.0
