Tarih,TP_IN_KL2_TOPTAN_TOP_B
2015-09-01,550441.0
2015-10-01,980296.0
2015-11-01,432834.2
2015-12-01,1648197.0
2016-01-01,508996.4
2016-02-01,627796.0
2016-03-01,964587.5
2016-04-01,927350.2
2016-05-01,891257.7
2016-06-01,626451.3
2016-07-01,417783.6
2016-08-01,751824.2
2016-09-01,640039.5
2016-10-01,800657.6
2016-11-01,545867.3
2016-12-01,1055290.0
2017-01-01,687876.4
2017-02-01,523277.6
2017-03-01,894652.0
2017-04-01,668422.8
2017-05-01,741722.0
2017-06-01,624702.0
2017-07-01,791294.0
2017-08-01,973735.3
2017-09-01,702650.0
2017-10-01,677513.7
2017-11-01,464083.6
2017-12-01,823155.1
2018-01-01,783801.4
2018-02-01,535609.0
2018-03-01,718244.9
2018-04-01,411508.3
2018-05-01,688314.0
2018-06-01,768505.5
2018-07-01,917329.3
2018-08-01,1125245.6
2018-09-01,661417.4
2018-10-01,930187.7
2018-11-01,1680993.0
2018-12-01,1669132.2
2019-01-01,797488.0
2019-02-01,956700.0
2019-03-01,2313978.0
2019-04-01,935877.5
2019-05-01,683628.0
2019-06-01,341889.0
2019-07-01,723251.0
2019-08-01,441275.9
2019-09-01,519265.5
2019-10-01,734162.3
2019-11-01,589885.5
2019-12-01,936903.0
2020-01-01,726774.5
2020-02-01,225203.0
2020-03-01,341786.5
2020-04-01,391581.0
2020-05-01,283105.0
2020-06-01,843003.5
2020-07-01,633429.5
2020-08-01,385850.3
2020-09-01,371571.9
2020-10-01,309488.1
2020-11-01,518189.0
2020-12-01,1024784.0
2021-01-01,467115.0
2021-02-01,904472.0
2021-03-01,473422.0
2021-04-01,353201.2
2021-05-01,257151.0
2021-06-01,573295.3
2021-07-01,522361.4
2021-08-01,382747.3
2021-09-01,486223.8
2021-10-01,488547.2
2021-11-01,490711.0
2021-12-01,626258.0
2022-01-01,376058.1
2022-02-01,334641.2
2022-03-01,324672.4
2022-04-01,394895.9
2022-05-01,155880.7
2022-06-01,489712.4
2022-07-01,173335.5
2022-08-01,255938.6
2022-09-01,274715.9
2022-10-01,183672.0
2022-11-01,319312.5
2022-12-01,471760.9
2023-01-01,275071.1
2023-02-01,249407.5
2023-03-01,213008.6
2023-04-01,196579.0
2023-05-01,264532.1
2023-06-01,178092.7
2023-07-01,175845.6
2023-08-01,237403.7
2023-09-01,217466.7
2023-10-01,290305.9
2023-11-01,302969.2
2023-12-01,514194.1
2024-01-01,171294.7
2024-02-01,181822.4
2024-03-01,632522.0
2024-04-01,167155.0
2024-05-01,178388.4
2024-06-01,219529.1
2024-07-01,195552.8
2024-08-01,170863.2
2024-09-01,264276.3
2024-10-01,290278.9
2024-11-01,234287.6
2024-12-01,668164.6
2025-01-01,375770.2
2025-02-01,181210.0
2025-03-01,262490.0
2025-04-01,125909.3
2025-05-01,243624.5
2025-06-01,206945.3
