Tarih,TP_IN_KL2_OTEL_TOP_B
2015-09-01,315370.0
2015-10-01,148455.0
2015-11-01,160417.1
2015-12-01,301829.4
2016-01-01,73833.6
2016-02-01,153450.1
2016-03-01,212012.2
2016-04-01,300065.5
2016-05-01,365766.0
2016-06-01,311027.0
2016-07-01,251195.8
2016-08-01,210252.0
2016-09-01,258589.0
2016-10-01,171994.7
2016-11-01,191471.2
2016-12-01,622004.0
2017-01-01,332144.9
2017-02-01,135392.6
2017-03-01,264259.0
2017-04-01,192915.0
2017-05-01,201782.1
2017-06-01,149350.4
2017-07-01,119648.5
2017-08-01,152038.9
2017-09-01,283751.0
2017-10-01,208010.0
2017-11-01,352023.5
2017-12-01,302583.6
2018-01-01,208529.7
2018-02-01,194752.0
2018-03-01,126432.0
2018-04-01,238318.1
2018-05-01,257276.0
2018-06-01,183287.0
2018-07-01,236886.0
2018-08-01,197788.6
2018-09-01,246496.2
2018-10-01,157651.3
2018-11-01,198128.0
2018-12-01,274048.4
2019-01-01,413964.0
2019-02-01,84319.2
2019-03-01,473888.0
2019-04-01,89626.2
2019-05-01,112272.3
2019-06-01,82105.0
2019-07-01,124530.3
2019-08-01,90818.1
2019-09-01,131791.2
2019-10-01,105881.6
2019-11-01,89875.9
2019-12-01,148550.0
2020-01-01,89595.6
2020-02-01,88244.3
2020-03-01,47212.0
2020-04-01,24854.2
2020-05-01,160155.0
2020-06-01,171719.2
2020-07-01,268518.4
2020-08-01,92195.7
2020-09-01,53568.1
2020-10-01,100292.0
2020-11-01,45123.0
2020-12-01,112878.0
2021-01-01,162989.0
2021-02-01,257840.0
2021-03-01,189657.6
2021-04-01,232718.0
2021-05-01,194921.1
2021-06-01,99178.0
2021-07-01,124493.0
2021-08-01,90838.5
2021-09-01,139329.0
2021-10-01,63254.6
2021-11-01,44392.0
2021-12-01,206617.1
2022-01-01,136757.1
2022-02-01,180999.0
2022-03-01,150359.5
2022-04-01,89715.5
2022-05-01,177691.7
2022-06-01,150912.9
2022-07-01,48672.9
2022-08-01,75836.1
2022-09-01,181426.5
2022-10-01,159438.3
2022-11-01,69121.6
2022-12-01,433582.0
2023-01-01,79337.2
2023-02-01,73997.5
2023-03-01,102935.2
2023-04-01,52386.7
2023-05-01,149699.9
2023-06-01,94251.3
2023-07-01,82934.2
2023-08-01,98530.3
2023-09-01,124302.0
2023-10-01,66132.4
2023-11-01,55159.8
2023-12-01,238759.6
2024-01-01,131701.7
2024-02-01,147744.0
2024-03-01,513436.1
2024-04-01,54910.6
2024-05-01,118813.4
2024-06-01,121405.6
2024-07-01,56900.6
2024-08-01,219918.9
2024-09-01,74778.4
2024-10-01,113156.9
2024-11-01,92734.1
2024-12-01,208825.8
2025-01-01,62257.7
2025-02-01,109789.0
2025-03-01,159648.5
2025-04-01,77201.1
2025-05-01,94163.5
2025-06-01,132504.9
