Tarih,TP_IN_KL2_SANAYI_OZE_B
2015-07-01,655651.8
2015-08-01,852314.9
2015-09-01,668534.3
2015-10-01,895002.6
2015-11-01,957764.7
2015-12-01,1479126.3
2016-01-01,1175283.2
2016-02-01,1195732.5
2016-03-01,1129854.1
2016-04-01,1005294.9
2016-05-01,1154521.9
2016-06-01,1121800.7
2016-07-01,625935.9
2016-08-01,1012931.9
2016-09-01,796356.5
2016-10-01,1004816.8
2016-11-01,1188007.3
2016-12-01,1873411.1
2017-01-01,1063989.1
2017-02-01,834489.5
2017-03-01,1195084.7
2017-04-01,979695.3
2017-05-01,933918.5
2017-06-01,701558.1
2017-07-01,994041.6
2017-08-01,986907.0
2017-09-01,851878.1
2017-10-01,1059153.0
2017-11-01,1035233.9
2017-12-01,1231102.4
2018-01-01,867468.5
2018-02-01,951856.3
2018-03-01,1123903.9
2018-04-01,1123929.3
2018-05-01,1473167.9
2018-06-01,1041342.1
2018-07-01,1138626.2
2018-08-01,837325.5
2018-09-01,1143600.2
2018-10-01,1128499.5
2018-11-01,1171033.6
2018-12-01,1940922.9
2019-01-01,1253381.6
2019-02-01,1316343.8
2019-03-01,1594218.8
2019-04-01,1072548.8
2019-05-01,1098623.8
2019-06-01,443399.8
2019-07-01,711207.2
2019-08-01,715324.1
2019-09-01,807315.1
2019-10-01,659016.8
2019-11-01,848252.2
2019-12-01,898327.0
2020-01-01,1001519.6
2020-02-01,617668.6
2020-03-01,745986.7
2020-04-01,387988.3
2020-05-01,608687.5
2020-06-01,586923.8
2020-07-01,729686.0
2020-08-01,582006.9
2020-09-01,559851.1
2020-10-01,779446.3
2020-11-01,605976.6
2020-12-01,988384.8
2021-01-01,721906.4
2021-02-01,789400.4
2021-03-01,1217411.3
2021-04-01,867359.3
2021-05-01,643758.6
2021-06-01,887891.0
2021-07-01,918046.3
2021-08-01,810371.9
2021-09-01,734759.4
2021-10-01,962784.1
2021-11-01,1331625.3
2021-12-01,2303288.1
2022-01-01,807668.2
2022-02-01,1053608.6
2022-03-01,1134337.1
2022-04-01,1001752.5
2022-05-01,928207.9
2022-06-01,1394748.7
2022-07-01,743879.7
2022-08-01,1156255.4
2022-09-01,1027740.7
2022-10-01,1228211.9
2022-11-01,1170046.4
2022-12-01,1926031.0
2023-01-01,1454163.3
2023-02-01,950607.9
2023-03-01,874437.4
2023-04-01,658338.0
2023-05-01,1143794.2
2023-06-01,1069747.7
2023-07-01,834230.0
2023-08-01,1029347.1
2023-09-01,1036311.5
2023-10-01,993987.5
2023-11-01,1422028.4
2023-12-01,2590388.0
2024-01-01,1446367.0
2024-02-01,1282561.9
2024-03-01,2127116.8
2024-04-01,846806.8
2024-05-01,903312.7
2024-06-01,751394.3
2024-07-01,1197890.7
2024-08-01,1349327.4
2024-09-01,1363074.3
2024-10-01,1419902.4
2024-11-01,1287544.6
2024-12-01,2917697.9
2025-01-01,1597452.8
2025-02-01,1298899.1
2025-03-01,1342247.8
2025-04-01,886633.9
2025-05-01,1265502.6
2025-06-01,1002573.9
