Tarih,TP_IN_KL2_TOPTAN_OZE_B
2015-09-01,493144.0
2015-10-01,723194.0
2015-11-01,404724.2
2015-12-01,1523818.0
2016-01-01,470426.4
2016-02-01,554002.0
2016-03-01,770672.4
2016-04-01,857948.2
2016-05-01,642357.0
2016-06-01,516795.3
2016-07-01,396029.6
2016-08-01,681705.1
2016-09-01,607297.5
2016-10-01,752541.6
2016-11-01,502627.3
2016-12-01,797664.0
2017-01-01,600749.0
2017-02-01,473049.4
2017-03-01,808945.0
2017-04-01,593977.8
2017-05-01,530179.0
2017-06-01,471276.0
2017-07-01,727487.0
2017-08-01,794036.3
2017-09-01,584206.0
2017-10-01,620473.0
2017-11-01,365415.0
2017-12-01,756535.1
2018-01-01,613857.4
2018-02-01,500218.0
2018-03-01,615960.9
2018-04-01,359361.2
2018-05-01,589257.0
2018-06-01,635798.0
2018-07-01,847494.3
2018-08-01,1073997.6
2018-09-01,629867.4
2018-10-01,837869.7
2018-11-01,1566515.0
2018-12-01,1486989.0
2019-01-01,619927.0
2019-02-01,765575.0
2019-03-01,1935804.0
2019-04-01,894315.5
2019-05-01,662124.0
2019-06-01,230949.0
2019-07-01,666894.0
2019-08-01,429682.4
2019-09-01,411695.5
2019-10-01,702318.3
2019-11-01,511197.5
2019-12-01,865700.0
2020-01-01,430772.5
2020-02-01,185375.0
2020-03-01,298435.0
2020-04-01,373567.0
2020-05-01,235115.0
2020-06-01,450446.3
2020-07-01,558256.5
2020-08-01,305892.3
2020-09-01,285213.9
2020-10-01,270004.0
2020-11-01,504560.0
2020-12-01,821257.0
2021-01-01,408168.0
2021-02-01,781636.0
2021-03-01,447065.0
2021-04-01,318104.2
2021-05-01,128070.0
2021-06-01,442710.3
2021-07-01,406665.3
2021-08-01,296273.4
2021-09-01,444306.0
2021-10-01,326563.0
2021-11-01,469008.0
2021-12-01,497435.0
2022-01-01,362425.3
2022-02-01,306064.6
2022-03-01,267995.4
2022-04-01,360598.3
2022-05-01,148558.9
2022-06-01,445573.1
2022-07-01,150605.4
2022-08-01,236944.6
2022-09-01,229037.7
2022-10-01,160996.7
2022-11-01,288443.1
2022-12-01,432010.1
2023-01-01,223270.0
2023-02-01,234394.7
2023-03-01,201879.7
2023-04-01,192004.5
2023-05-01,236333.3
2023-06-01,127149.8
2023-07-01,170320.3
2023-08-01,198056.1
2023-09-01,185926.1
2023-10-01,220995.8
2023-11-01,261860.5
2023-12-01,437102.1
2024-01-01,156813.5
2024-02-01,169172.3
2024-03-01,585593.3
2024-04-01,110903.3
2024-05-01,132285.4
2024-06-01,175556.0
2024-07-01,128657.6
2024-08-01,157564.1
2024-09-01,241336.6
2024-10-01,264630.1
2024-11-01,223044.5
2024-12-01,598809.9
2025-01-01,309052.1
2025-02-01,146780.8
2025-03-01,238972.3
2025-04-01,92037.5
2025-05-01,227133.1
2025-06-01,184571.8
