Tarih,TP_IN_KL2_EV_OZE_A
2015-10-01,1378.0
2015-11-01,1682.0
2015-12-01,2023.0
2016-01-01,1132.0
2016-02-01,1188.0
2016-03-01,1266.0
2016-04-01,1336.0
2016-05-01,1543.0
2016-06-01,1841.0
2016-07-01,1294.0
2016-08-01,1839.0
2016-09-01,1334.0
2016-10-01,1474.0
2016-11-01,1905.0
2016-12-01,1923.0
2017-01-01,1445.0
2017-02-01,1143.0
2017-03-01,1409.0
2017-04-01,1435.0
2017-05-01,1667.0
2017-06-01,1533.0
2017-07-01,1786.0
2017-08-01,1859.0
2017-09-01,1531.0
2017-10-01,1927.0
2017-11-01,1885.0
2017-12-01,1956.0
2018-01-01,1422.0
2018-02-01,1322.0
2018-03-01,1354.0
2018-04-01,1477.0
2018-05-01,1819.0
2018-06-01,1614.0
2018-07-01,1927.0
2018-08-01,1585.0
2018-09-01,1731.0
2018-10-01,1913.0
2018-11-01,2060.0
2018-12-01,2120.0
2019-01-01,1392.0
2019-02-01,1239.0
2019-03-01,2299.0
2019-04-01,999.0
2019-05-01,1223.0
2019-06-01,926.0
2019-07-01,1275.0
2019-08-01,1050.0
2019-09-01,1190.0
2019-10-01,1180.0
2019-11-01,1204.0
2019-12-01,1505.0
2020-01-01,993.0
2020-02-01,872.0
2020-03-01,933.0
2020-04-01,595.0
2020-05-01,862.0
2020-06-01,1534.0
2020-07-01,1691.0
2020-08-01,1379.0
2020-09-01,1532.0
2020-10-01,1832.0
2020-11-01,1730.0
2020-12-01,2567.0
2021-01-01,1613.0
2021-02-01,1527.0
2021-03-01,1810.0
2021-04-01,1838.0
2021-05-01,1154.0
2021-06-01,2277.0
2021-07-01,2186.0
2021-08-01,2427.0
2021-09-01,2478.0
2021-10-01,2399.0
2021-11-01,2550.0
2021-12-01,3595.0
2022-01-01,1904.0
2022-02-01,1737.0
2022-03-01,2060.0
2022-04-01,2478.0
2022-05-01,1842.0
2022-06-01,2546.0
2022-07-01,1971.0
2022-08-01,3042.0
2022-09-01,2759.0
2022-10-01,2911.0
2022-11-01,2917.0
2022-12-01,4655.0
2023-01-01,2598.0
2023-02-01,1781.0
2023-03-01,1983.0
2023-04-01,1901.0
2023-05-01,2319.0
2023-06-01,2186.0
2023-07-01,2315.0
2023-08-01,2672.0
2023-09-01,2319.0
2023-10-01,2656.0
2023-11-01,2482.0
2023-12-01,4741.0
2024-01-01,2772.0
2024-02-01,2706.0
2024-03-01,4863.0
2024-04-01,1692.0
2024-05-01,2184.0
2024-06-01,1753.0
2024-07-01,2415.0
2024-08-01,2591.0
2024-09-01,2618.0
2024-10-01,2801.0
2024-11-01,2739.0
2024-12-01,5304.0
2025-01-01,2780.0
2025-02-01,2042.0
2025-03-01,1982.0
2025-04-01,1561.0
2025-05-01,2046.0
2025-06-01,2343.0
