Tarih,TP_IN_KL2_KAMU_OZE_B
2015-09-01,132441.2
2015-10-01,85854.0
2015-11-01,138584.0
2015-12-01,251630.1
2016-01-01,128699.0
2016-02-01,161582.5
2016-03-01,202282.0
2016-04-01,115228.0
2016-05-01,89583.0
2016-06-01,243556.0
2016-07-01,156362.3
2016-08-01,300186.0
2016-09-01,170819.2
2016-10-01,176325.0
2016-11-01,184073.6
2016-12-01,184633.0
2017-01-01,84500.0
2017-02-01,172088.0
2017-03-01,130455.0
2017-04-01,138451.0
2017-05-01,105239.0
2017-06-01,149344.4
2017-07-01,240868.0
2017-08-01,300979.0
2017-09-01,125331.0
2017-10-01,208060.0
2017-11-01,163825.5
2017-12-01,242794.5
2018-01-01,120645.0
2018-02-01,72305.0
2018-03-01,111193.3
2018-04-01,152532.6
2018-05-01,125932.0
2018-06-01,138803.6
2018-07-01,200563.0
2018-08-01,332641.0
2018-09-01,277916.8
2018-10-01,112167.6
2018-11-01,182673.6
2018-12-01,401751.6
2019-01-01,159711.0
2019-02-01,85389.0
2019-03-01,492918.0
2019-04-01,108673.0
2019-05-01,189037.7
2019-06-01,46262.0
2019-07-01,228287.7
2019-08-01,153178.8
2019-09-01,134242.0
2019-10-01,250671.0
2019-11-01,61042.0
2019-12-01,255162.6
2020-01-01,118034.4
2020-02-01,62593.5
2020-03-01,103787.0
2020-04-01,169559.4
2020-05-01,95612.0
2020-06-01,148582.5
2020-07-01,257667.0
2020-08-01,120905.0
2020-09-01,88711.0
2020-10-01,103627.0
2020-11-01,63697.0
2020-12-01,168987.9
2021-01-01,64240.0
2021-02-01,79037.0
2021-03-01,94145.0
2021-04-01,33077.0
2021-05-01,49077.3
2021-06-01,17767.5
2021-07-01,123142.8
2021-08-01,115273.1
2021-09-01,21544.2
2021-10-01,45889.4
2021-11-01,58661.8
2021-12-01,116842.6
2022-01-01,90484.1
2022-02-01,110212.2
2022-03-01,95099.7
2022-04-01,29834.8
2022-05-01,75017.7
2022-06-01,74427.1
2022-07-01,63683.3
2022-08-01,110402.8
2022-09-01,120508.5
2022-10-01,38423.4
2022-11-01,59208.2
2022-12-01,122874.4
2023-01-01,66346.5
2023-02-01,27315.7
2023-03-01,33885.0
2023-04-01,33789.0
2023-05-01,37214.5
2023-06-01,17372.0
2023-07-01,53293.7
2023-08-01,202951.7
2023-09-01,68446.2
2023-10-01,52203.6
2023-11-01,46378.7
2023-12-01,89886.5
2024-01-01,146225.1
2024-02-01,48588.9
2024-03-01,153555.0
2024-04-01,26075.1
2024-05-01,20959.8
2024-06-01,19515.1
2024-07-01,51225.5
2024-08-01,32879.4
2024-09-01,30410.3
2024-10-01,67464.6
2024-11-01,49179.5
2024-12-01,134198.8
2025-01-01,25193.8
2025-02-01,57952.4
2025-03-01,28786.9
2025-04-01,23422.8
2025-05-01,42559.9
2025-06-01,109373.9
