Tarih,TP_IN_KL2_TOPLAM_TOP_D
2015-09-01,52764.0
2015-10-01,58848.0
2015-11-01,57301.0
2015-12-01,94858.0
2016-01-01,48659.0
2016-02-01,54496.0
2016-03-01,62616.0
2016-04-01,61088.0
2016-05-01,62555.0
2016-06-01,66049.0
2016-07-01,42795.0
2016-08-01,63533.0
2016-09-01,52543.0
2016-10-01,65248.0
2016-11-01,79541.0
2016-12-01,100756.0
2017-01-01,66621.0
2017-02-01,59123.0
2017-03-01,72364.0
2017-04-01,68066.0
2017-05-01,66515.0
2017-06-01,61172.0
2017-07-01,58722.0
2017-08-01,67207.0
2017-09-01,59024.0
2017-10-01,78319.0
2017-11-01,79908.0
2017-12-01,100640.0
2018-01-01,74520.0
2018-02-01,61333.0
2018-03-01,73264.0
2018-04-01,64103.0
2018-05-01,81393.0
2018-06-01,60361.0
2018-07-01,76257.0
2018-08-01,61189.0
2018-09-01,72211.0
2018-10-01,85898.0
2018-11-01,85424.0
2018-12-01,111651.0
2019-01-01,67217.0
2019-02-01,66270.0
2019-03-01,119010.0
2019-04-01,58897.0
2019-05-01,57234.0
2019-06-01,32676.0
2019-07-01,55733.0
2019-08-01,43093.0
2019-09-01,52678.0
2019-10-01,54193.0
2019-11-01,55863.0
2019-12-01,87226.0
2020-01-01,54211.0
2020-02-01,52173.0
2020-03-01,50055.0
2020-04-01,31871.0
2020-05-01,33839.0
2020-06-01,51655.0
2020-07-01,56470.0
2020-08-01,48753.0
2020-09-01,51628.0
2020-10-01,52679.0
2020-11-01,49756.0
2020-12-01,75568.0
2021-01-01,53784.0
2021-02-01,46616.0
2021-03-01,60920.0
2021-04-01,45878.0
2021-05-01,28343.0
2021-06-01,48200.0
2021-07-01,40660.0
2021-08-01,47223.0
2021-09-01,53690.0
2021-10-01,56735.0
2021-11-01,58923.0
2021-12-01,95170.0
2022-01-01,55890.0
2022-02-01,48205.0
2022-03-01,54568.0
2022-04-01,56423.0
2022-05-01,39877.0
2022-06-01,54155.0
2022-07-01,39414.0
2022-08-01,51229.0
2022-09-01,50535.0
2022-10-01,47257.0
2022-11-01,53841.0
2022-12-01,100629.0
2023-01-01,54119.0
2023-02-01,36602.0
2023-03-01,37026.0
2023-04-01,32121.0
2023-05-01,44761.0
2023-06-01,33797.0
2023-07-01,34252.0
2023-08-01,41129.0
2023-09-01,42586.0
2023-10-01,42788.0
2023-11-01,44207.0
2023-12-01,101564.0
2024-01-01,52663.0
2024-02-01,54713.0
2024-03-01,82529.0
2024-04-01,25467.0
2024-05-01,35899.0
2024-06-01,28843.0
2024-07-01,42244.0
2024-08-01,42081.0
2024-09-01,43548.0
2024-10-01,49186.0
2024-11-01,56192.0
2024-12-01,127414.0
2025-01-01,55391.0
2025-02-01,47853.0
2025-03-01,46102.0
2025-04-01,33037.0
2025-05-01,50370.0
2025-06-01,46745.0
