Tarih,TP_IN_KL2_TOPLAM_KOP_B
2015-09-01,242887.0
2015-10-01,287142.0
2015-11-01,229319.1
2015-12-01,487982.7
2016-01-01,316540.0
2016-02-01,306468.0
2016-03-01,355316.0
2016-04-01,282745.7
2016-05-01,339265.0
2016-06-01,268190.0
2016-07-01,182860.0
2016-08-01,232215.5
2016-09-01,187901.0
2016-10-01,311330.3
2016-11-01,437188.4
2016-12-01,1043293.8
2017-01-01,360517.5
2017-02-01,308328.2
2017-03-01,350592.0
2017-04-01,472453.3
2017-05-01,314322.0
2017-06-01,300208.0
2017-07-01,281837.0
2017-08-01,276223.0
2017-09-01,270401.0
2017-10-01,523015.8
2017-11-01,416067.0
2017-12-01,458033.0
2018-01-01,280201.0
2018-02-01,170021.1
2018-03-01,327738.0
2018-04-01,161135.7
2018-05-01,246629.0
2018-06-01,328794.0
2018-07-01,212090.8
2018-08-01,373319.0
2018-09-01,167471.0
2018-10-01,374314.0
2018-11-01,612956.0
2018-12-01,395681.0
2019-01-01,272793.0
2019-02-01,410402.0
2019-03-01,625352.0
2019-04-01,104985.9
2019-05-01,145728.0
2019-06-01,176344.8
2019-07-01,104014.6
2019-08-01,163761.0
2019-09-01,176463.0
2019-10-01,271778.0
2019-11-01,226670.5
2019-12-01,328670.0
2020-01-01,290496.0
2020-02-01,204845.0
2020-03-01,459038.0
2020-04-01,266489.0
2020-05-01,131104.0
2020-06-01,314953.6
2020-07-01,140899.0
2020-08-01,244516.0
2020-09-01,201253.2
2020-10-01,124478.0
2020-11-01,117606.0
2020-12-01,533811.0
2021-01-01,118006.0
2021-02-01,254017.0
2021-03-01,180639.5
2021-04-01,142319.4
2021-05-01,114974.0
2021-06-01,172620.1
2021-07-01,93029.0
2021-08-01,125896.0
2021-09-01,199671.0
2021-10-01,248571.9
2021-11-01,261616.0
2021-12-01,351843.0
2022-01-01,138461.6
2022-02-01,151813.5
2022-03-01,248969.4
2022-04-01,140656.5
2022-05-01,69450.5
2022-06-01,227357.6
2022-07-01,199660.6
2022-08-01,185913.0
2022-09-01,105725.6
2022-10-01,115949.6
2022-11-01,161180.5
2022-12-01,259559.8
2023-01-01,272364.3
2023-02-01,94938.4
2023-03-01,118593.3
2023-04-01,131321.2
2023-05-01,158437.2
2023-06-01,119987.4
2023-07-01,130206.8
2023-08-01,50922.5
2023-09-01,295335.8
2023-10-01,203774.8
2023-11-01,316949.8
2023-12-01,551001.1
2024-01-01,149966.3
2024-02-01,109423.2
2024-03-01,264453.3
2024-04-01,227984.9
2024-05-01,131080.3
2024-06-01,62385.1
2024-07-01,113120.7
2024-08-01,92430.3
2024-09-01,156544.8
2024-10-01,127762.3
2024-11-01,161214.9
2024-12-01,451174.3
2025-01-01,98196.4
2025-02-01,87246.0
2025-03-01,67914.2
2025-04-01,221258.5
2025-05-01,73450.4
2025-06-01,116010.3
