Tarih,TP_IN_KL2_EV_TOP_B
2015-09-01,278213.0
2015-10-01,303756.2
2015-11-01,342882.2
2015-12-01,449549.8
2016-01-01,300395.4
2016-02-01,286483.1
2016-03-01,305080.2
2016-04-01,311798.4
2016-05-01,398075.7
2016-06-01,431904.3
2016-07-01,257424.5
2016-08-01,383970.6
2016-09-01,273327.9
2016-10-01,347112.0
2016-11-01,373269.7
2016-12-01,522850.4
2017-01-01,369276.9
2017-02-01,273401.8
2017-03-01,354528.7
2017-04-01,369114.8
2017-05-01,354170.0
2017-06-01,374429.1
2017-07-01,389045.5
2017-08-01,394672.9
2017-09-01,412311.5
2017-10-01,403912.7
2017-11-01,447290.3
2017-12-01,464227.0
2018-01-01,349319.5
2018-02-01,314355.8
2018-03-01,304744.5
2018-04-01,370165.0
2018-05-01,395557.6
2018-06-01,389690.2
2018-07-01,423326.2
2018-08-01,363880.0
2018-09-01,375032.8
2018-10-01,418726.9
2018-11-01,535507.8
2018-12-01,521905.9
2019-01-01,320386.2
2019-02-01,292835.5
2019-03-01,510595.3
2019-04-01,258541.6
2019-05-01,285370.1
2019-06-01,205866.2
2019-07-01,274133.0
2019-08-01,229457.8
2019-09-01,231656.4
2019-10-01,268026.5
2019-11-01,311706.9
2019-12-01,347800.4
2020-01-01,238139.7
2020-02-01,194428.7
2020-03-01,224403.1
2020-04-01,177806.9
2020-05-01,172175.8
2020-06-01,322641.5
2020-07-01,394943.9
2020-08-01,284794.4
2020-09-01,320844.1
2020-10-01,399266.9
2020-11-01,357694.5
2020-12-01,509909.8
2021-01-01,308766.4
2021-02-01,315002.7
2021-03-01,378630.6
2021-04-01,381936.9
2021-05-01,252544.3
2021-06-01,432073.7
2021-07-01,441153.8
2021-08-01,464636.7
2021-09-01,503033.7
2021-10-01,505345.3
2021-11-01,512294.8
2021-12-01,873305.9
2022-01-01,451174.0
2022-02-01,364415.5
2022-03-01,561355.5
2022-04-01,549236.4
2022-05-01,404128.4
2022-06-01,579542.2
2022-07-01,454545.3
2022-08-01,665450.2
2022-09-01,622618.7
2022-10-01,697584.7
2022-11-01,668988.6
2022-12-01,1106314.9
2023-01-01,755734.7
2023-02-01,412635.1
2023-03-01,450140.8
2023-04-01,411688.6
2023-05-01,523994.0
2023-06-01,491205.4
2023-07-01,524855.5
2023-08-01,587402.2
2023-09-01,506681.3
2023-10-01,572192.4
2023-11-01,529213.7
2023-12-01,1145671.3
2024-01-01,729272.6
2024-02-01,641190.5
2024-03-01,1262724.7
2024-04-01,448185.2
2024-05-01,477494.4
2024-06-01,366674.9
2024-07-01,523143.8
2024-08-01,587111.0
2024-09-01,576022.0
2024-10-01,630532.5
2024-11-01,629675.6
2024-12-01,1262212.3
2025-01-01,632505.2
2025-02-01,474061.4
2025-03-01,432335.7
2025-04-01,393113.9
2025-05-01,495756.9
2025-06-01,614315.2
