Tarih,TP_IN_KL2_EV_KOP_B
2015-10-01,19570.0
2015-11-01,5458.1
2015-12-01,9414.2
2016-01-01,45676.0
2016-02-01,31195.0
2016-03-01,18047.0
2016-04-01,32105.0
2016-05-01,87942.0
2016-06-01,23708.0
2016-07-01,1963.0
2016-08-01,14764.1
2016-09-01,4138.0
2016-10-01,40436.0
2016-11-01,4926.0
2016-12-01,74925.8
2017-01-01,23618.0
2017-02-01,17840.0
2017-03-01,35809.0
2017-04-01,23104.0
2017-05-01,15646.0
2017-06-01,35270.0
2017-07-01,24920.0
2017-08-01,7239.0
2017-09-01,14456.0
2017-10-01,10197.0
2017-11-01,46967.0
2017-12-01,19762.0
2018-01-01,25611.0
2018-02-01,10486.0
2018-03-01,9339.0
2018-04-01,17596.7
2018-05-01,4761.0
2018-06-01,55144.0
2018-07-01,30554.0
2018-08-01,30829.0
2018-09-01,20543.0
2018-10-01,12742.0
2018-11-01,65563.0
2018-12-01,19647.0
2019-01-01,1950.0
2019-02-01,16987.0
2019-03-01,17468.0
2019-04-01,15180.0
2019-05-01,29274.0
2019-06-01,2416.0
2019-07-01,7508.0
2019-08-01,4265.0
2019-09-01,3135.0
2019-10-01,14612.0
2019-11-01,35572.5
2019-12-01,6878.0
2020-01-01,8199.0
2020-02-01,8315.0
2020-03-01,10440.0
2020-04-01,3516.0
2020-05-01,669.0
2020-06-01,10464.0
2020-07-01,9510.0
2020-08-01,14227.0
2020-09-01,8151.2
2020-10-01,942.0
2020-11-01,10099.0
2020-12-01,24664.0
2021-01-01,1779.0
2021-02-01,25146.0
2021-03-01,3412.0
2021-04-01,22308.0
2021-05-01,21672.0
2021-06-01,306.0
2021-07-01,113.0
2021-08-01,11627.0
2021-09-01,4312.0
2021-10-01,17640.0
2021-11-01,6014.0
2021-12-01,14279.0
2022-01-01,599.0
2022-02-01,4154.0
2022-03-01,1708.0
2022-04-01,25757.5
2022-05-01,14009.6
2022-06-01,18819.3
2022-07-01,14489.5
2022-08-01,9336.0
2022-09-01,10056.4
2022-10-01,18914.0
2022-11-01,17091.3
2022-12-01,5591.0
2023-01-01,100842.6
2023-02-01,
2023-03-01,5123.7
2023-04-01,2136.0
2023-05-01,3853.1
2023-06-01,13745.0
2023-07-01,23696.6
2023-08-01,1110.7
2023-09-01,1870.9
2023-10-01,2555.0
2023-11-01,
2023-12-01,4572.1
2024-01-01,282.9
2024-02-01,8123.0
2024-03-01,48801.3
2024-04-01,3016.5
2024-05-01,3809.0
2024-06-01,700.0
2024-07-01,7997.6
2024-08-01,597.9
2024-09-01,6469.6
2024-10-01,15298.1
2024-11-01,7937.1
2024-12-01,27142.4
2025-01-01,548.7
2025-02-01,2819.7
2025-03-01,979.3
2025-04-01,75.0
2025-05-01,1797.5
2025-06-01,3444.6
