Tarih,TP_IN_KL2_TOPLAM_TOP_A
2015-09-01,8575.0
2015-10-01,9768.0
2015-11-01,9733.0
2015-12-01,14339.0
2016-01-01,8063.0
2016-02-01,8390.0
2016-03-01,9453.0
2016-04-01,9049.0
2016-05-01,9739.0
2016-06-01,11228.0
2016-07-01,6736.0
2016-08-01,10217.0
2016-09-01,7912.0
2016-10-01,9956.0
2016-11-01,11879.0
2016-12-01,14510.0
2017-01-01,9732.0
2017-02-01,8487.0
2017-03-01,10117.0
2017-04-01,9332.0
2017-05-01,10412.0
2017-06-01,9546.0
2017-07-01,9467.0
2017-08-01,10316.0
2017-09-01,9232.0
2017-10-01,11371.0
2017-11-01,11559.0
2017-12-01,13953.0
2018-01-01,10494.0
2018-02-01,9186.0
2018-03-01,10580.0
2018-04-01,9588.0
2018-05-01,11512.0
2018-06-01,9381.0
2018-07-01,11894.0
2018-08-01,9180.0
2018-09-01,10880.0
2018-10-01,12537.0
2018-11-01,12790.0
2018-12-01,14951.0
2019-01-01,9212.0
2019-02-01,9020.0
2019-03-01,14496.0
2019-04-01,7634.0
2019-05-01,8151.0
2019-06-01,4806.0
2019-07-01,7565.0
2019-08-01,5937.0
2019-09-01,6968.0
2019-10-01,7069.0
2019-11-01,7240.0
2019-12-01,10167.0
2020-01-01,6853.0
2020-02-01,6236.0
2020-03-01,6286.0
2020-04-01,4112.0
2020-05-01,3983.0
2020-06-01,7282.0
2020-07-01,7944.0
2020-08-01,6547.0
2020-09-01,7492.0
2020-10-01,7724.0
2020-11-01,7149.0
2020-12-01,10422.0
2021-01-01,7186.0
2021-02-01,6864.0
2021-03-01,8483.0
2021-04-01,7165.0
2021-05-01,4387.0
2021-06-01,8073.0
2021-07-01,7045.0
2021-08-01,7730.0
2021-09-01,8527.0
2021-10-01,8885.0
2021-11-01,9315.0
2021-12-01,14293.0
2022-01-01,7729.0
2022-02-01,7306.0
2022-03-01,8569.0
2022-04-01,8901.0
2022-05-01,6300.0
2022-06-01,9050.0
2022-07-01,6749.0
2022-08-01,9030.0
2022-09-01,8699.0
2022-10-01,8687.0
2022-11-01,9137.0
2022-12-01,14933.0
2023-01-01,9377.0
2023-02-01,5937.0
2023-03-01,6608.0
2023-04-01,5740.0
2023-05-01,7339.0
2023-06-01,6221.0
2023-07-01,6140.0
2023-08-01,7616.0
2023-09-01,7244.0
2023-10-01,7775.0
2023-11-01,7659.0
2023-12-01,15261.0
2024-01-01,9065.0
2024-02-01,8405.0
2024-03-01,13874.0
2024-04-01,5114.0
2024-05-01,6810.0
2024-06-01,5131.0
2024-07-01,7074.0
2024-08-01,7523.0
2024-09-01,7710.0
2024-10-01,8428.0
2024-11-01,9026.0
2024-12-01,17581.0
2025-01-01,8885.0
2025-02-01,7416.0
2025-03-01,6900.0
2025-04-01,5337.0
2025-05-01,7316.0
2025-06-01,7482.0
