Tarih,TP_IN_KL2_APT_DEV_D
2015-10-01,8097.0
2015-11-01,2438.0
2015-12-01,5111.0
2016-01-01,1706.0
2016-02-01,3695.0
2016-03-01,2305.0
2016-04-01,4181.0
2016-05-01,5857.0
2016-06-01,2642.0
2016-07-01,3249.0
2016-08-01,6531.0
2016-09-01,4360.0
2016-10-01,5003.0
2016-11-01,6193.0
2016-12-01,5015.0
2017-01-01,4892.0
2017-02-01,3444.0
2017-03-01,7722.0
2017-04-01,2901.0
2017-05-01,3586.0
2017-06-01,1821.0
2017-07-01,2855.0
2017-08-01,2166.0
2017-09-01,2586.0
2017-10-01,5801.0
2017-11-01,4803.0
2017-12-01,5341.0
2018-01-01,9727.0
2018-02-01,2339.0
2018-03-01,5446.0
2018-04-01,5095.0
2018-05-01,13149.0
2018-06-01,6068.0
2018-07-01,4940.0
2018-08-01,3015.0
2018-09-01,7236.0
2018-10-01,3737.0
2018-11-01,6336.0
2018-12-01,7292.0
2019-01-01,8099.0
2019-02-01,6098.0
2019-03-01,10071.0
2019-04-01,5408.0
2019-05-01,3095.0
2019-06-01,1543.0
2019-07-01,6808.0
2019-08-01,4952.0
2019-09-01,4164.0
2019-10-01,3218.0
2019-11-01,3617.0
2019-12-01,6834.0
2020-01-01,4215.0
2020-02-01,6154.0
2020-03-01,6451.0
2020-04-01,1760.0
2020-05-01,3331.0
2020-06-01,4751.0
2020-07-01,2991.0
2020-08-01,4678.0
2020-09-01,3674.0
2020-10-01,3708.0
2020-11-01,1344.0
2020-12-01,5959.0
2021-01-01,1349.0
2021-02-01,2360.0
2021-03-01,7979.0
2021-04-01,2420.0
2021-05-01,2007.0
2021-06-01,2084.0
2021-07-01,1770.0
2021-08-01,4273.0
2021-09-01,2963.0
2021-10-01,6090.0
2021-11-01,3044.0
2021-12-01,3710.0
2022-01-01,8749.0
2022-02-01,4119.0
2022-03-01,3487.0
2022-04-01,5740.0
2022-05-01,4086.0
2022-06-01,3038.0
2022-07-01,3008.0
2022-08-01,3008.0
2022-09-01,3158.0
2022-10-01,5477.0
2022-11-01,5000.0
2022-12-01,5993.0
2023-01-01,5776.0
2023-02-01,5787.0
2023-03-01,6253.0
2023-04-01,5031.0
2023-05-01,5408.0
2023-06-01,2860.0
2023-07-01,2482.0
2023-08-01,3558.0
2023-09-01,4070.0
2023-10-01,884.0
2023-11-01,3188.0
2023-12-01,9985.0
2024-01-01,6673.0
2024-02-01,10545.0
2024-03-01,9971.0
2024-04-01,2053.0
2024-05-01,5491.0
2024-06-01,5219.0
2024-07-01,8515.0
2024-08-01,7282.0
2024-09-01,6962.0
2024-10-01,7535.0
2024-11-01,11937.0
2024-12-01,14474.0
2025-01-01,7761.0
2025-02-01,11149.0
2025-03-01,10822.0
2025-04-01,6739.0
2025-05-01,10135.0
2025-06-01,7068.0
