Tarih,TP_IN_KL2_APT_TOP_D
2015-09-01,51174.0
2015-10-01,56926.0
2015-11-01,55309.0
2015-12-01,92340.0
2016-01-01,47184.0
2016-02-01,52948.0
2016-03-01,60976.0
2016-04-01,59419.0
2016-05-01,60119.0
2016-06-01,63578.0
2016-07-01,41314.0
2016-08-01,61341.0
2016-09-01,50958.0
2016-10-01,63350.0
2016-11-01,77362.0
2016-12-01,97917.0
2017-01-01,64842.0
2017-02-01,57591.0
2017-03-01,70561.0
2017-04-01,66272.0
2017-05-01,64459.0
2017-06-01,59165.0
2017-07-01,56637.0
2017-08-01,64937.0
2017-09-01,56898.0
2017-10-01,76081.0
2017-11-01,77575.0
2017-12-01,98271.0
2018-01-01,72702.0
2018-02-01,59716.0
2018-03-01,71635.0
2018-04-01,62239.0
2018-05-01,79155.0
2018-06-01,58409.0
2018-07-01,73787.0
2018-08-01,59282.0
2018-09-01,70099.0
2018-10-01,83646.0
2018-11-01,82736.0
2018-12-01,108577.0
2019-01-01,65601.0
2019-02-01,64708.0
2019-03-01,115839.0
2019-04-01,57398.0
2019-05-01,55734.0
2019-06-01,31579.0
2019-07-01,53749.0
2019-08-01,41770.0
2019-09-01,51295.0
2019-10-01,52616.0
2019-11-01,54299.0
2019-12-01,85364.0
2020-01-01,52922.0
2020-02-01,51073.0
2020-03-01,48833.0
2020-04-01,30764.0
2020-05-01,32887.0
2020-06-01,49791.0
2020-07-01,54116.0
2020-08-01,47122.0
2020-09-01,49856.0
2020-10-01,50417.0
2020-11-01,47799.0
2020-12-01,72638.0
2021-01-01,51979.0
2021-02-01,44766.0
2021-03-01,58786.0
2021-04-01,43707.0
2021-05-01,26918.0
2021-06-01,45687.0
2021-07-01,38182.0
2021-08-01,44457.0
2021-09-01,50674.0
2021-10-01,53937.0
2021-11-01,56077.0
2021-12-01,90680.0
2022-01-01,53377.0
2022-02-01,46205.0
2022-03-01,51865.0
2022-04-01,53666.0
2022-05-01,37841.0
2022-06-01,51221.0
2022-07-01,36986.0
2022-08-01,47587.0
2022-09-01,47361.0
2022-10-01,43929.0
2022-11-01,50593.0
2022-12-01,95263.0
2023-01-01,50585.0
2023-02-01,34586.0
2023-03-01,34859.0
2023-04-01,30093.0
2023-05-01,42102.0
2023-06-01,31437.0
2023-07-01,31745.0
2023-08-01,38142.0
2023-09-01,39987.0
2023-10-01,39998.0
2023-11-01,41486.0
2023-12-01,96348.0
2024-01-01,48985.0
2024-02-01,51827.0
2024-03-01,76942.0
2024-04-01,23358.0
2024-05-01,33366.0
2024-06-01,27003.0
2024-07-01,39637.0
2024-08-01,39311.0
2024-09-01,40729.0
2024-10-01,46192.0
2024-11-01,53035.0
2024-12-01,121410.0
2025-01-01,52255.0
2025-02-01,45569.0
2025-03-01,44015.0
2025-04-01,31209.0
2025-05-01,47867.0
2025-06-01,43930.0
