Tarih,TP_IN_KL2_APT_TOP_B
2015-04-01,8452077.9
2015-05-01,8705643.8
2015-06-01,11238828.9
2015-07-01,8085479.8
2015-08-01,8031319.1
2015-09-01,7345858.8
2015-10-01,8353420.7
2015-11-01,8163333.9
2015-12-01,14188431.9
2016-01-01,7039737.4
2016-02-01,7911126.6
2016-03-01,9256877.6
2016-04-01,9012633.1
2016-05-01,9116262.1
2016-06-01,9508823.7
2016-07-01,6309781.8
2016-08-01,9257213.0
2016-09-01,7874283.1
2016-10-01,9517275.9
2016-11-01,11731435.8
2016-12-01,15276064.7
2017-01-01,9971315.4
2017-02-01,8634786.8
2017-03-01,10717821.8
2017-04-01,10023654.3
2017-05-01,9897866.0
2017-06-01,9023956.8
2017-07-01,8561802.1
2017-08-01,9680975.7
2017-09-01,8561261.2
2017-10-01,11637596.8
2017-11-01,11917839.9
2017-12-01,15014605.6
2018-01-01,11094440.0
2018-02-01,9079792.0
2018-03-01,10939510.5
2018-04-01,9516926.0
2018-05-01,12066793.5
2018-06-01,8765081.5
2018-07-01,11030938.0
2018-08-01,9117286.8
2018-09-01,10595863.2
2018-10-01,12780873.2
2018-11-01,12618475.9
2018-12-01,16969013.5
2019-01-01,10388130.7
2019-02-01,10381089.7
2019-03-01,18749898.5
2019-04-01,9189441.7
2019-05-01,8482175.9
2019-06-01,5033654.5
2019-07-01,8504137.1
2019-08-01,6612990.9
2019-09-01,8222299.5
2019-10-01,8352554.8
2019-11-01,8782734.4
2019-12-01,13865169.5
2020-01-01,8634810.4
2020-02-01,8186130.6
2020-03-01,7861176.8
2020-04-01,4906768.1
2020-05-01,5558360.6
2020-06-01,8012828.8
2020-07-01,8624920.2
2020-08-01,7458931.7
2020-09-01,8137384.3
2020-10-01,8240031.1
2020-11-01,7738823.8
2020-12-01,11963801.3
2021-01-01,8298502.5
2021-02-01,7244194.9
2021-03-01,9234608.7
2021-04-01,6861891.0
2021-05-01,4154476.7
2021-06-01,6949493.9
2021-07-01,6068233.2
2021-08-01,6905901.9
2021-09-01,7815233.6
2021-10-01,8340054.6
2021-11-01,8794862.6
2021-12-01,14611908.4
2022-01-01,8577143.1
2022-02-01,7202547.5
2022-03-01,8137664.0
2022-04-01,8188169.5
2022-05-01,5886111.8
2022-06-01,7964877.9
2022-07-01,5755931.4
2022-08-01,7585625.9
2022-09-01,7360411.5
2022-10-01,6726775.6
2022-11-01,7918300.0
2022-12-01,15061515.3
2023-01-01,8018407.9
2023-02-01,5259031.9
2023-03-01,5361117.2
2023-04-01,4742611.1
2023-05-01,6473157.8
2023-06-01,4774822.1
2023-07-01,4802316.7
2023-08-01,6002746.6
2023-09-01,6171208.0
2023-10-01,6107639.5
2023-11-01,6286317.2
2023-12-01,15163408.8
2024-01-01,7493973.1
2024-02-01,7980092.6
2024-03-01,11543537.9
2024-04-01,3466061.1
2024-05-01,4966248.1
2024-06-01,3994370.8
2024-07-01,5716195.5
2024-08-01,5624997.6
2024-09-01,5861714.8
2024-10-01,6864712.7
2024-11-01,7975810.5
2024-12-01,17793283.0
2025-01-01,7614568.2
2025-02-01,6768233.3
2025-03-01,6545751.7
2025-04-01,4767676.1
2025-05-01,7248103.1
2025-06-01,6353638.4
