Tarih,TP_IN_KL2_DIGER_DEV_B
2015-09-01,63050.0
2015-10-01,45469.5
2015-11-01,59757.0
2015-12-01,127649.0
2016-01-01,48058.0
2016-02-01,58268.0
2016-03-01,37988.7
2016-04-01,35285.4
2016-05-01,36401.0
2016-06-01,85073.7
2016-07-01,39479.0
2016-08-01,110700.1
2016-09-01,59145.0
2016-10-01,54600.0
2016-11-01,88072.1
2016-12-01,35203.2
2017-01-01,231157.2
2017-02-01,89232.1
2017-03-01,77808.8
2017-04-01,51605.1
2017-05-01,112328.6
2017-06-01,79481.0
2017-07-01,32196.0
2017-08-01,63295.0
2017-09-01,38755.6
2017-10-01,67577.5
2017-11-01,87005.4
2017-12-01,50075.0
2018-01-01,256992.1
2018-02-01,102400.9
2018-03-01,112056.8
2018-04-01,111548.6
2018-05-01,88241.7
2018-06-01,55507.4
2018-07-01,75606.2
2018-08-01,112347.7
2018-09-01,121831.5
2018-10-01,53031.9
2018-11-01,110620.1
2018-12-01,75614.8
2019-01-01,88774.2
2019-02-01,269996.0
2019-03-01,180627.7
2019-04-01,82984.7
2019-05-01,81582.1
2019-06-01,198460.0
2019-07-01,128171.8
2019-08-01,142779.7
2019-09-01,102942.0
2019-10-01,61862.0
2019-11-01,55291.0
2019-12-01,177982.0
2020-01-01,74270.0
2020-02-01,85685.9
2020-03-01,734372.8
2020-04-01,56936.7
2020-05-01,31556.0
2020-06-01,102780.0
2020-07-01,89571.5
2020-08-01,70279.0
2020-09-01,83275.4
2020-10-01,69063.5
2020-11-01,50152.0
2020-12-01,154131.5
2021-01-01,26835.4
2021-02-01,314484.7
2021-03-01,79845.0
2021-04-01,69881.7
2021-05-01,25016.6
2021-06-01,84597.7
2021-07-01,184824.7
2021-08-01,113896.3
2021-09-01,315152.4
2021-10-01,124392.6
2021-11-01,58148.0
2021-12-01,291553.7
2022-01-01,43486.5
2022-02-01,35291.7
2022-03-01,183050.1
2022-04-01,171877.6
2022-05-01,58830.8
2022-06-01,236500.8
2022-07-01,381838.6
2022-08-01,58947.8
2022-09-01,74865.4
2022-10-01,26601.4
2022-11-01,196122.1
2022-12-01,292865.8
2023-01-01,53940.9
2023-02-01,32185.9
2023-03-01,32348.1
2023-04-01,75493.3
2023-05-01,166355.3
2023-06-01,38690.1
2023-07-01,40137.0
2023-08-01,62223.6
2023-09-01,51156.5
2023-10-01,35079.6
2023-11-01,68251.0
2023-12-01,45072.7
2024-01-01,59680.0
2024-02-01,44084.5
2024-03-01,107956.0
2024-04-01,13422.9
2024-05-01,23643.6
2024-06-01,32804.9
2024-07-01,28938.0
2024-08-01,51693.5
2024-09-01,80010.4
2024-10-01,29415.0
2024-11-01,63405.7
2024-12-01,136752.5
2025-01-01,54886.4
2025-02-01,31091.0
2025-03-01,69794.1
2025-04-01,9954.0
2025-05-01,68344.2
2025-06-01,27584.1
