Tarih,TP_IN_KL2_TRAFIK_OZE_B
2015-10-01,9440.0
2015-11-01,16506.0
2015-12-01,26886.0
2016-01-01,8556.0
2016-02-01,2692.0
2016-03-01,6568.0
2016-04-01,64652.0
2016-05-01,6525.0
2016-06-01,25181.0
2016-07-01,4569.0
2016-08-01,30427.0
2016-09-01,45823.0
2016-10-01,11989.0
2016-11-01,17504.0
2016-12-01,52629.0
2017-01-01,13516.0
2017-02-01,4919.0
2017-03-01,14766.0
2017-04-01,7405.0
2017-05-01,25238.8
2017-06-01,70895.0
2017-07-01,6054.0
2017-08-01,45421.0
2017-09-01,37052.0
2017-10-01,36288.0
2017-11-01,20334.0
2017-12-01,20427.0
2018-01-01,48289.0
2018-02-01,9687.1
2018-03-01,36527.0
2018-04-01,12372.0
2018-05-01,6477.0
2018-06-01,7066.0
2018-07-01,10797.0
2018-08-01,35876.0
2018-09-01,8757.0
2018-10-01,22875.0
2018-11-01,18488.0
2018-12-01,12397.3
2019-01-01,40845.0
2019-02-01,73492.0
2019-03-01,89155.0
2019-04-01,24852.0
2019-05-01,11595.0
2019-06-01,131027.0
2019-07-01,14938.5
2019-08-01,740.0
2019-09-01,53134.0
2019-10-01,36827.0
2019-11-01,17858.0
2019-12-01,36142.0
2020-01-01,19016.1
2020-02-01,35798.5
2020-03-01,30176.3
2020-04-01,19205.7
2020-05-01,4133.0
2020-06-01,34414.3
2020-07-01,40061.5
2020-08-01,22452.0
2020-09-01,49290.0
2020-10-01,37825.7
2020-11-01,46541.8
2020-12-01,41346.2
2021-01-01,152900.0
2021-02-01,32101.7
2021-03-01,54694.9
2021-04-01,5837.0
2021-05-01,5135.0
2021-06-01,109620.0
2021-07-01,39024.1
2021-08-01,297864.3
2021-09-01,56218.2
2021-10-01,49292.8
2021-11-01,21785.0
2021-12-01,36679.4
2022-01-01,32423.9
2022-02-01,1611.0
2022-03-01,23566.0
2022-04-01,30756.1
2022-05-01,29037.0
2022-06-01,8363.0
2022-07-01,9211.3
2022-08-01,6407.1
2022-09-01,38405.6
2022-10-01,34092.7
2022-11-01,15288.8
2022-12-01,14437.8
2023-01-01,22429.7
2023-02-01,14729.5
2023-03-01,16892.8
2023-04-01,1595.3
2023-05-01,9923.6
2023-06-01,6296.0
2023-07-01,26111.4
2023-08-01,9075.5
2023-09-01,26903.3
2023-10-01,32672.9
2023-11-01,3939.8
2023-12-01,84220.3
2024-01-01,18127.6
2024-02-01,21558.4
2024-03-01,47158.9
2024-04-01,8343.1
2024-05-01,7800.5
2024-06-01,6787.0
2024-07-01,13770.2
2024-08-01,32222.4
2024-09-01,30665.9
2024-10-01,18254.9
2024-11-01,31987.7
2024-12-01,178172.0
2025-01-01,29555.6
2025-02-01,22035.4
2025-03-01,15875.8
2025-04-01,59455.4
2025-05-01,25576.0
2025-06-01,16899.1
