Tarih,TP_IN_KL2_APT_OZE_A
2015-09-01,5374.0
2015-10-01,5612.0
2015-11-01,6019.0
2015-12-01,9374.0
2016-01-01,5188.0
2016-02-01,5357.0
2016-03-01,6257.0
2016-04-01,5890.0
2016-05-01,6031.0
2016-06-01,6877.0
2016-07-01,4097.0
2016-08-01,6123.0
2016-09-01,5004.0
2016-10-01,6401.0
2016-11-01,7411.0
2016-12-01,9177.0
2017-01-01,6362.0
2017-02-01,5771.0
2017-03-01,6669.0
2017-04-01,6234.0
2017-05-01,6843.0
2017-06-01,6322.0
2017-07-01,6005.0
2017-08-01,6857.0
2017-09-01,5903.0
2017-10-01,7381.0
2017-11-01,7572.0
2017-12-01,9578.0
2018-01-01,6687.0
2018-02-01,6130.0
2018-03-01,6896.0
2018-04-01,6326.0
2018-05-01,7203.0
2018-06-01,5859.0
2018-07-01,7723.0
2018-08-01,6037.0
2018-09-01,6990.0
2018-10-01,8574.0
2018-11-01,8050.0
2018-12-01,9680.0
2019-01-01,5884.0
2019-02-01,5627.0
2019-03-01,9289.0
2019-04-01,4977.0
2019-05-01,5346.0
2019-06-01,2952.0
2019-07-01,4688.0
2019-08-01,3619.0
2019-09-01,4489.0
2019-10-01,4593.0
2019-11-01,4611.0
2019-12-01,6655.0
2020-01-01,4368.0
2020-02-01,3919.0
2020-03-01,3777.0
2020-04-01,2447.0
2020-05-01,2364.0
2020-06-01,4294.0
2020-07-01,4660.0
2020-08-01,3945.0
2020-09-01,4528.0
2020-10-01,4358.0
2020-11-01,4214.0
2020-12-01,5781.0
2021-01-01,4243.0
2021-02-01,3917.0
2021-03-01,4633.0
2021-04-01,3924.0
2021-05-01,2245.0
2021-06-01,4341.0
2021-07-01,3732.0
2021-08-01,3935.0
2021-09-01,4662.0
2021-10-01,4693.0
2021-11-01,5125.0
2021-12-01,7577.0
2022-01-01,4158.0
2022-02-01,4053.0
2022-03-01,4544.0
2022-04-01,4660.0
2022-05-01,3290.0
2022-06-01,4743.0
2022-07-01,3236.0
2022-08-01,4350.0
2022-09-01,4378.0
2022-10-01,3924.0
2022-11-01,4328.0
2022-12-01,7452.0
2023-01-01,4273.0
2023-02-01,2755.0
2023-03-01,3027.0
2023-04-01,2531.0
2023-05-01,3370.0
2023-06-01,2876.0
2023-07-01,2753.0
2023-08-01,3408.0
2023-09-01,3421.0
2023-10-01,3795.0
2023-11-01,3689.0
2023-12-01,7602.0
2024-01-01,3985.0
2024-02-01,3713.0
2024-03-01,5994.0
2024-04-01,2190.0
2024-05-01,2880.0
2024-06-01,2172.0
2024-07-01,3120.0
2024-08-01,3229.0
2024-09-01,3329.0
2024-10-01,3733.0
2024-11-01,3813.0
2024-12-01,8661.0
2025-01-01,4160.0
2025-02-01,3271.0
2025-03-01,3103.0
2025-04-01,2318.0
2025-05-01,3386.0
2025-06-01,3300.0
