Tarih,TP_IN_KL2_SANAYI_TOP_B
2015-07-01,656892.5
2015-08-01,869176.4
2015-09-01,703224.2
2015-10-01,911687.6
2015-11-01,965597.7
2015-12-01,1548240.3
2016-01-01,1191592.2
2016-02-01,1238232.5
2016-03-01,1172870.0
2016-04-01,1054414.6
2016-05-01,1234039.9
2016-06-01,1203645.7
2016-07-01,639359.9
2016-08-01,1037217.9
2016-09-01,820103.5
2016-10-01,1012355.1
2016-11-01,1244662.6
2016-12-01,2150155.1
2017-01-01,1148287.7
2017-02-01,864568.9
2017-03-01,1245024.7
2017-04-01,1003896.9
2017-05-01,939655.5
2017-06-01,716314.1
2017-07-01,1021495.6
2017-08-01,999715.0
2017-09-01,896279.4
2017-10-01,1087524.7
2017-11-01,1057228.3
2017-12-01,1286778.4
2018-01-01,930934.4
2018-02-01,977277.3
2018-03-01,1152848.1
2018-04-01,1213590.2
2018-05-01,1526769.1
2018-06-01,1057975.1
2018-07-01,1156192.0
2018-08-01,934388.5
2018-09-01,1217626.2
2018-10-01,1258910.3
2018-11-01,1201657.6
2018-12-01,2082550.9
2019-01-01,1281235.6
2019-02-01,1413164.8
2019-03-01,1653585.8
2019-04-01,1096214.5
2019-05-01,1118163.9
2019-06-01,452138.8
2019-07-01,772824.5
2019-08-01,754941.1
2019-09-01,831579.1
2019-10-01,768251.8
2019-11-01,887238.0
2019-12-01,1057278.0
2020-01-01,1061749.1
2020-02-01,706875.4
2020-03-01,858719.2
2020-04-01,527512.3
2020-05-01,629149.7
2020-06-01,766255.8
2020-07-01,760035.0
2020-08-01,622427.9
2020-09-01,596386.1
2020-10-01,814225.3
2020-11-01,661618.6
2020-12-01,1001591.8
2021-01-01,822756.5
2021-02-01,864755.4
2021-03-01,1468102.8
2021-04-01,882787.7
2021-05-01,670299.6
2021-06-01,894660.9
2021-07-01,922688.9
2021-08-01,815355.6
2021-09-01,775578.7
2021-10-01,1310975.1
2021-11-01,1384166.3
2021-12-01,2448591.1
2022-01-01,823252.2
2022-02-01,1070594.9
2022-03-01,1171044.0
2022-04-01,1045925.8
2022-05-01,938607.2
2022-06-01,1402534.2
2022-07-01,789813.2
2022-08-01,1199568.8
2022-09-01,1073394.8
2022-10-01,1532517.5
2022-11-01,1235659.9
2022-12-01,1976761.9
2023-01-01,1478794.7
2023-02-01,961899.9
2023-03-01,983680.9
2023-04-01,719789.4
2023-05-01,1179194.6
2023-06-01,1072815.8
2023-07-01,869634.6
2023-08-01,1120243.5
2023-09-01,1218882.7
2023-10-01,1052655.7
2023-11-01,1465874.3
2023-12-01,2843318.5
2024-01-01,1527166.7
2024-02-01,1392681.3
2024-03-01,2164409.2
2024-04-01,868602.1
2024-05-01,928636.4
2024-06-01,763905.8
2024-07-01,1250487.8
2024-08-01,1389012.2
2024-09-01,1427318.3
2024-10-01,1500039.1
2024-11-01,1477577.3
2024-12-01,3102342.8
2025-01-01,1947565.2
2025-02-01,1332414.3
2025-03-01,1366604.5
2025-04-01,1121608.8
2025-05-01,1297781.6
2025-06-01,1086860.4
