Tarih,TP_IN_KL2_TOPLAM_DEV_B
2015-06-01,1157195.0
2015-07-01,752616.3
2015-08-01,815491.9
2015-09-01,1126781.6
2015-10-01,1889372.2
2015-11-01,775345.1
2015-12-01,2009051.6
2016-01-01,705696.0
2016-02-01,1403430.6
2016-03-01,933162.6
2016-04-01,1726465.7
2016-05-01,1912777.1
2016-06-01,1306525.7
2016-07-01,938872.1
2016-08-01,1725520.9
2016-09-01,1502717.9
2016-10-01,1500181.6
2016-11-01,1938478.3
2016-12-01,1932722.1
2017-01-01,2247391.9
2017-02-01,1653241.6
2017-03-01,2312484.3
2017-04-01,1197131.1
2017-05-01,1562212.6
2017-06-01,930163.9
2017-07-01,1177140.0
2017-08-01,1104765.8
2017-09-01,1653183.5
2017-10-01,1597053.8
2017-11-01,1969737.6
2017-12-01,1584594.8
2018-01-01,2903544.6
2018-02-01,1324913.5
2018-03-01,1897828.8
2018-04-01,1522400.1
2018-05-01,3271027.3
2018-06-01,1775978.8
2018-07-01,1614004.4
2018-08-01,1152630.8
2018-09-01,1951120.7
2018-10-01,1365975.6
2018-11-01,1737581.8
2018-12-01,2265243.2
2019-01-01,2246067.1
2019-02-01,2245682.1
2019-03-01,3287113.3
2019-04-01,1609007.3
2019-05-01,1393376.4
2019-06-01,823427.1
2019-07-01,2132075.6
2019-08-01,1550969.5
2019-09-01,1566073.1
2019-10-01,1132267.2
2019-11-01,1139127.1
2019-12-01,2374737.0
2020-01-01,1816562.1
2020-02-01,1753291.7
2020-03-01,2784213.7
2020-04-01,766291.9
2020-05-01,968939.5
2020-06-01,1577067.6
2020-07-01,1526971.3
2020-08-01,1617538.7
2020-09-01,1196655.5
2020-10-01,1581763.3
2020-11-01,842465.0
2020-12-01,1839141.2
2021-01-01,932532.7
2021-02-01,1317167.0
2021-03-01,2701964.8
2021-04-01,1336532.4
2021-05-01,866374.9
2021-06-01,938474.5
2021-07-01,1038461.9
2021-08-01,1269642.2
2021-09-01,1222416.6
2021-10-01,2168566.9
2021-11-01,989148.1
2021-12-01,1837066.0
2022-01-01,2089420.0
2022-02-01,984952.9
2022-03-01,1313970.3
2022-04-01,1811081.5
2022-05-01,1172651.6
2022-06-01,1180235.2
2022-07-01,1257716.4
2022-08-01,1003266.9
2022-09-01,1354180.5
2022-10-01,1687356.4
2022-11-01,1447903.7
2022-12-01,3278513.7
2023-01-01,1524950.6
2023-02-01,1175107.6
2023-03-01,1406917.6
2023-04-01,1157780.8
2023-05-01,1318133.4
2023-06-01,784751.8
2023-07-01,748078.2
2023-08-01,1167921.1
2023-09-01,1274129.6
2023-10-01,882246.8
2023-11-01,1556178.7
2023-12-01,2650541.9
2024-01-01,1612162.9
2024-02-01,2526917.9
2024-03-01,2578411.3
2024-04-01,1601614.6
2024-05-01,1685902.3
2024-06-01,1291588.4
2024-07-01,1891212.2
2024-08-01,1533484.1
2024-09-01,2032574.2
2024-10-01,1890887.1
2024-11-01,2616889.5
2024-12-01,3579896.8
2025-01-01,2116002.9
2025-02-01,2423556.8
2025-03-01,2209910.0
2025-04-01,1568455.9
2025-05-01,2375132.1
2025-06-01,1588160.6
