Tarih,TP_IN_KL2_TOPLAM_OZE_B
2015-04-01,10482759.4
2015-05-01,10859893.7
2015-06-01,13981609.5
2015-07-01,10601511.8
2015-08-01,11010546.6
2015-09-01,9544294.4
2015-10-01,9854246.5
2015-11-01,10471160.7
2015-12-01,18647515.7
2016-01-01,9229731.2
2016-02-01,9833460.5
2016-03-01,11793833.4
2016-04-01,11434483.3
2016-05-01,11269548.0
2016-06-01,12420497.9
2016-07-01,7972915.3
2016-08-01,11406534.7
2016-09-01,10061187.5
2016-10-01,12041846.5
2016-11-01,14542553.1
2016-12-01,19201975.0
2017-01-01,11970296.3
2017-02-01,10302764.9
2017-03-01,13016319.2
2017-04-01,12234736.0
2017-05-01,11869276.2
2017-06-01,11036563.0
2017-07-01,10823256.0
2017-08-01,12556976.5
2017-09-01,10740002.6
2017-10-01,13615096.7
2017-11-01,13949136.6
2017-12-01,17689581.7
2018-01-01,12504985.2
2018-02-01,11244221.6
2018-03-01,13069058.8
2018-04-01,11463124.8
2018-05-01,13189464.6
2018-06-01,10618233.5
2018-07-01,13393289.2
2018-08-01,11427528.6
2018-09-01,12598173.3
2018-10-01,15195332.3
2018-11-01,15163557.6
2018-12-01,20714892.4
2019-01-01,11940827.2
2019-02-01,11883225.2
2019-03-01,22261215.8
2019-04-01,10703050.8
2019-05-01,10465138.6
2019-06-01,6168394.1
2019-07-01,9619644.1
2019-08-01,7493483.5
2019-09-01,9396472.2
2019-10-01,9881488.8
2019-11-01,10061998.5
2019-12-01,15465457.4
2020-01-01,9739502.8
2020-02-01,8612991.3
2020-03-01,8446635.8
2020-04-01,5714117.4
2020-05-01,6233525.5
2020-06-01,9091808.9
2020-07-01,10472284.9
2020-08-01,8131656.2
2020-09-01,9186082.7
2020-10-01,9658944.9
2020-11-01,9574076.2
2020-12-01,13759842.9
2021-01-01,10106682.2
2021-02-01,9092728.9
2021-03-01,10576643.9
2021-04-01,8498878.4
2021-05-01,5241693.1
2021-06-01,9110985.6
2021-07-01,8012464.9
2021-08-01,8628646.4
2021-09-01,9454632.4
2021-10-01,9711423.0
2021-11-01,11270598.9
2021-12-01,18629520.9
2022-01-01,9114722.8
2022-02-01,8955753.1
2022-03-01,10109480.3
2022-04-01,10116353.3
2022-05-01,7277320.0
2022-06-01,10408244.2
2022-07-01,6954138.1
2022-08-01,9693435.4
2022-09-01,9526434.3
2022-10-01,8588850.6
2022-11-01,9951596.7
2022-12-01,19284887.0
2023-01-01,9979494.6
2023-02-01,6387301.2
2023-03-01,6446773.1
2023-04-01,5498961.0
2023-05-01,7984185.3
2023-06-01,6383892.8
2023-07-01,6525089.0
2023-08-01,7943993.6
2023-09-01,7737275.2
2023-10-01,8267675.1
2023-11-01,8304352.8
2023-12-01,19140731.1
2024-01-01,9580236.4
2024-02-01,9248451.6
2024-03-01,15525305.1
2024-04-01,4765045.1
2024-05-01,6188050.7
2024-06-01,4943166.1
2024-07-01,6611508.3
2024-08-01,7269949.6
2024-09-01,7396034.0
2024-10-01,8727800.6
2024-11-01,9139689.1
2024-12-01,21920498.8
2025-01-01,9409624.9
2025-02-01,7320194.4
2025-03-01,7513437.3
2025-04-01,5448803.6
2025-05-01,8180253.1
2025-06-01,7627499.2
