Tarih,TP_IN_KL2_TRAFIK_TOP_B
2015-09-01,2163.6
2015-10-01,14425.0
2015-11-01,23701.0
2015-12-01,124635.0
2016-01-01,9943.0
2016-02-01,32638.0
2016-03-01,17245.0
2016-04-01,111130.3
2016-05-01,17432.0
2016-06-01,30073.0
2016-07-01,4569.0
2016-08-01,42098.0
2016-09-01,45823.0
2016-10-01,31688.0
2016-11-01,91518.0
2016-12-01,54401.0
2017-01-01,47403.0
2017-02-01,4919.0
2017-03-01,76648.0
2017-04-01,25809.0
2017-05-01,37028.8
2017-06-01,77894.0
2017-07-01,38977.0
2017-08-01,106819.0
2017-09-01,37052.0
2017-10-01,59344.0
2017-11-01,52716.0
2017-12-01,59253.0
2018-01-01,79768.0
2018-02-01,38574.1
2018-03-01,44563.0
2018-04-01,25746.0
2018-05-01,29180.0
2018-06-01,88881.0
2018-07-01,21357.0
2018-08-01,37516.0
2018-09-01,13550.0
2018-10-01,52271.0
2018-11-01,33191.0
2018-12-01,40324.1
2019-01-01,60809.0
2019-02-01,89770.0
2019-03-01,330387.0
2019-04-01,40682.0
2019-05-01,36881.0
2019-06-01,131120.0
2019-07-01,18512.5
2019-08-01,9446.0
2019-09-01,83027.0
2019-10-01,41889.0
2019-11-01,17858.0
2019-12-01,126520.0
2020-01-01,95799.1
2020-02-01,76421.5
2020-03-01,31476.3
2020-04-01,29666.7
2020-05-01,4233.0
2020-06-01,40758.3
2020-07-01,88597.2
2020-08-01,22452.0
2020-09-01,61710.0
2020-10-01,50708.7
2020-11-01,63379.8
2020-12-01,61243.7
2021-01-01,153825.0
2021-02-01,103784.7
2021-03-01,57708.9
2021-04-01,40606.0
2021-05-01,11797.0
2021-06-01,131469.0
2021-07-01,115766.1
2021-08-01,305121.7
2021-09-01,56218.2
2021-10-01,105363.2
2021-11-01,56889.2
2021-12-01,40618.2
2022-01-01,36311.0
2022-02-01,1611.0
2022-03-01,40772.4
2022-04-01,235283.4
2022-05-01,30536.2
2022-06-01,44667.0
2022-07-01,9211.3
2022-08-01,8949.1
2022-09-01,48735.3
2022-10-01,66330.1
2022-11-01,19854.7
2022-12-01,23134.8
2023-01-01,22489.7
2023-02-01,23950.5
2023-03-01,34586.9
2023-04-01,11518.0
2023-05-01,10289.6
2023-06-01,34888.0
2023-07-01,26517.4
2023-08-01,27603.8
2023-09-01,31465.0
2023-10-01,34164.0
2023-11-01,30551.5
2023-12-01,99559.9
2024-01-01,26465.4
2024-02-01,22189.4
2024-03-01,60752.7
2024-04-01,23536.9
2024-05-01,9072.9
2024-06-01,68424.3
2024-07-01,14918.2
2024-08-01,44649.1
2024-09-01,48502.8
2024-10-01,31373.1
2024-11-01,38940.7
2024-12-01,211380.9
2025-01-01,39650.6
2025-02-01,22323.4
2025-03-01,35495.5
2025-04-01,102068.6
2025-05-01,25576.0
2025-06-01,27218.1
