Tarih,TP_IN_KL2_HALK_TOP_B
2015-09-01,257726.0
2015-10-01,218164.0
2015-11-01,91023.0
2015-12-01,69935.1
2016-01-01,55903.1
2016-02-01,121331.0
2016-03-01,84910.0
2016-04-01,102711.9
2016-05-01,80089.6
2016-06-01,181884.6
2016-07-01,114535.0
2016-08-01,126813.0
2016-09-01,338373.0
2016-10-01,85779.9
2016-11-01,137271.6
2016-12-01,124000.0
2017-01-01,95368.0
2017-02-01,131857.0
2017-03-01,143593.0
2017-04-01,91076.0
2017-05-01,164753.0
2017-06-01,68001.0
2017-07-01,53858.0
2017-08-01,142188.0
2017-09-01,298234.2
2017-10-01,142167.0
2017-11-01,124454.0
2017-12-01,115351.0
2018-01-01,66198.0
2018-02-01,88350.1
2018-03-01,154423.0
2018-04-01,48543.9
2018-05-01,47281.8
2018-06-01,55409.1
2018-07-01,120289.0
2018-08-01,99721.4
2018-09-01,138585.0
2018-10-01,159228.0
2018-11-01,46712.6
2018-12-01,63414.0
2019-01-01,73101.4
2019-02-01,43807.0
2019-03-01,158772.0
2019-04-01,30493.0
2019-05-01,43929.0
2019-06-01,39022.0
2019-07-01,59195.8
2019-08-01,113918.0
2019-09-01,84210.7
2019-10-01,48478.0
2019-11-01,63790.0
2019-12-01,85787.0
2020-01-01,62934.0
2020-02-01,35336.9
2020-03-01,19247.0
2020-04-01,48441.0
2020-05-01,37434.0
2020-06-01,11305.0
2020-07-01,9629.0
2020-08-01,56353.0
2020-09-01,43150.0
2020-10-01,34380.0
2020-11-01,45906.0
2020-12-01,98571.8
2021-01-01,136621.0
2021-02-01,36275.0
2021-03-01,91784.0
2021-04-01,66789.0
2021-05-01,42065.0
2021-06-01,75090.9
2021-07-01,81765.0
2021-08-01,60790.0
2021-09-01,48936.0
2021-10-01,127922.6
2021-11-01,68983.0
2021-12-01,131108.5
2022-01-01,55990.5
2022-02-01,31361.1
2022-03-01,12214.9
2022-04-01,44357.8
2022-05-01,107670.6
2022-06-01,15016.0
2022-07-01,7420.0
2022-08-01,53006.1
2022-09-01,92710.1
2022-10-01,60566.2
2022-11-01,36931.5
2022-12-01,65449.8
2023-01-01,86204.7
2023-02-01,28892.8
2023-03-01,45502.0
2023-04-01,30614.8
2023-05-01,39350.3
2023-06-01,6575.0
2023-07-01,82737.2
2023-08-01,27247.8
2023-09-01,93633.0
2023-10-01,139474.7
2023-11-01,40488.8
2023-12-01,120740.7
2024-01-01,37394.7
2024-02-01,74070.2
2024-03-01,37838.7
2024-04-01,3059.6
2024-05-01,26667.8
2024-06-01,51377.7
2024-07-01,34069.3
2024-08-01,23032.0
2024-09-01,46502.1
2024-10-01,59340.9
2024-11-01,47695.0
2024-12-01,65838.8
2025-01-01,48752.8
2025-02-01,19040.7
2025-03-01,37206.8
2025-04-01,39166.0
2025-05-01,52386.2
2025-06-01,42532.7
